# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-BR-8372-01A-11D-2338-01	-0.100000	0.671000
TCGA-BR-8373-01A-11D-2338-01	-0.575000	1.347000
TCGA-BR-8380-01A-11D-2338-01	-0.100000	0.100000
TCGA-BR-8381-01A-11D-2390-01	-0.327000	0.576000
TCGA-BR-8382-01A-11D-2390-01	-0.100000	0.443000
TCGA-BR-8384-01A-21D-2390-01	-0.201000	0.100000
TCGA-BR-8483-01A-31D-2390-01	-0.632000	1.957000
TCGA-BR-8484-01A-11D-2390-01	-0.450000	0.834000
TCGA-BR-8485-01A-11D-2390-01	-0.385000	1.339000
TCGA-BR-8486-01A-31D-2390-01	-0.462000	2.020000
TCGA-BR-8487-01A-11D-2390-01	-0.100000	0.818000
TCGA-BR-8588-01A-11D-2390-01	-0.100000	0.464000
TCGA-BR-8589-01A-11D-2390-01	-0.572000	0.688000
TCGA-BR-8590-01A-11D-2390-01	-0.100000	0.265000
TCGA-BR-8591-01A-11D-2390-01	-0.100000	0.546000
TCGA-BR-8592-01A-11D-2390-01	-0.100000	0.100000
TCGA-BR-8676-01A-11D-2390-01	-0.100000	0.786000
TCGA-BR-8677-01A-11D-2390-01	-0.295000	0.406000
TCGA-BR-8678-01A-11D-2390-01	-0.779000	0.901000
TCGA-BR-8679-01A-11D-2390-01	-0.517000	1.612000
TCGA-BR-8680-01A-11D-2390-01	-0.693000	0.565000
TCGA-BR-8682-01A-11D-2390-01	-0.464000	0.847000
TCGA-BR-8683-01A-11D-2390-01	-0.615000	1.017000
TCGA-BR-8686-01A-11D-2390-01	-0.409000	0.521000
TCGA-BR-8687-01A-11D-2390-01	-0.381000	0.696000
TCGA-BR-8690-01A-11D-2390-01	-0.373000	0.892000
TCGA-BR-A44T-01A-32D-A24C-01	-0.100000	0.100000
TCGA-BR-A44U-01A-11D-A24C-01	-0.689000	2.410000
TCGA-BR-A452-01A-91D-A253-01	-0.577000	0.854000
TCGA-BR-A453-01A-11D-A24C-01	-0.100000	0.205000
TCGA-BR-A4CQ-01A-12D-A253-01	-1.000000	1.434000
TCGA-BR-A4CR-01A-11D-A24C-01	-0.648000	2.205000
TCGA-BR-A4CS-01A-11D-A24C-01	-0.768000	3.757000
TCGA-BR-A4IU-01A-22D-A253-01	-0.100000	0.317000
TCGA-BR-A4IV-01A-31D-A253-01	-0.100000	0.100000
TCGA-BR-A4IY-01A-11D-A253-01	-0.452000	0.563000
TCGA-BR-A4IZ-01A-32D-A253-01	-0.100000	0.100000
