"var","LUAD_rho","LUAD_rho_pval","LUAD_LH_meddelta","LUAD_LH_pval"
"silent",0.114477932453156,0.0832051632150601,18.5,0.095360302528373
"missense",0.120823465287685,0.0673843987247396,32.5,0.103904264814099
"nonstop",0.0233680419623852,0.724454949496913,0,0.63220333588177
"nonsense",0.0834426581859589,0.20738970333346,3.5,0.256988149685603
"frameshift",0.0868330001831055,0.189455184780619,1,0.165455997284076
"total",0.117350354790688,0.0757079456166907,50,0.10508850527154
"GZMA",0.941812634468079,0,NA,NA
"PRF1",0.916062533855438,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.0981565862894058,0.137784033271331,-0.449427223068585,0.10960796950632
"nmdptc_n_decayed",-0.0291910655796528,0.659657376642212,-1.5,0.704028586857386
"nmdptc_frac_decayed",-0.186270385980606,0.00459136350918765,-0.171428571428571,0.00582246943299356
"nmdptc_med",-0.157407060265541,0.016889597852797,-0.346772746411754,0.00588596810570628
"nmdptc_med.wt",-0.142555236816406,0.0306777397452129,-0.0304221886753404,0.475068786685318
"nmdptc_mean",-0.154597654938698,0.0189793373436145,-0.487201453845133,0.0195461633629048
"nmdptc_mean.wt",-0.145819380879402,0.0270189402183849,-0.0543235221631428,0.0235678379106574
"nmdptc_mut.bool",0.150819629430771,0.0221413879052119,0,0.0233199049399982
"nmdfs_max",-0.10571151971817,0.109833271809133,-0.661691993471029,0.191028189000003
"nmdfs_n_decayed",-0.0453666336834431,0.493581822631678,-0.5,0.657015478475616
"nmdfs_frac_decayed",-0.127850770950317,0.0528257745489067,-0.273550724637681,0.0622669338384458
"nmdfs_med",-0.0797242298722267,0.228431811080454,-0.416190778595583,0.288910648287567
"nmdfs_med.wt",-0.063253365457058,0.339570159612169,-0.0764861822771957,0.478479125491001
"nmdfs_mean",-0.118885055184364,0.0719325122213033,-0.348509307040032,0.109294764209927
"nmdfs_mean.wt",-0.0951968804001808,0.15011185798566,-0.077795771063145,0.298309366906407
"nmdfs_mut.bool",0.105509340763092,0.110518330666568,0,0.144220208781635
"nmdns_max",-0.110422872006893,0.0947939375778091,-0.297998837069827,0.196839365944132
"nmdns_n_decayed",-0.0567958503961563,0.391250923981998,0,0.85183298991491
"nmdns_frac_decayed",-0.158044636249542,0.0164442891457321,-0.175925925925926,0.0267532888333231
"nmdns_med",-0.132253929972649,0.0451116649205869,-0.454856602562463,0.0281379965824986
"nmdns_med.wt",-0.132330968976021,0.0449855818884672,-0.0773905652473447,0.477994965393362
"nmdns_mean",-0.153282791376114,0.0200322123776229,-0.452987365509672,0.471884195700199
"nmdns_mean.wt",-0.141201332211494,0.0323149735606072,-0.1023100634277,0.471884195700199
"nmdns_mut.bool",0.104237370193005,0.114905431760036,0,0.556085578292784
"TNFRSF4_cna",-0.0150907598435879,0.819934885229302,0,0.751417713830864
"CNKSR1_cna",-0.0701953619718552,0.289111221117972,0,0.721151046982149
"FUBP1_cna",-0.0806581377983093,0.223010140324977,0,0.295545016814039
"FUBP1_mut",-0.117903374135494,0.0743293918299535,0,0.361481700514096
"IL10_cna",-0.105914890766144,0.109147541468967,0,0.0510193245045459
"IRF6_cna",-0.0958017632365227,0.147526752519425,0,0.140422311867705
"IRF6_mut",-0.0363280437886715,0.583608635853869,NA,NA
"DNMT3A_cna",-0.0910044983029366,0.168980286876383,0,0.340261553953186
"DNMT3A_mut",0.0651914179325104,0.324949553280769,0,1
"SOS1_cna",-0.0985701158642769,0.136125186276159,0,0.365841333151479
"SOS1_mut",-0.0930595099925995,0.159521640261464,0,1
"CASP8_cna",0.092278778553009,0.163067143969714,0,0.392345016525971
"CASP8_mut",-0.0602149777114391,0.363321087312541,0,1
"CTLA4_cna",0.0959776341915131,0.146781507348248,0,0.355121917940577
"DNER_cna",0.110251851379871,0.0953095870728358,0,0.411112290507187
"PDCD1_cna",0.080399863421917,0.224500280427745,0,0.851222150668856
"SLC22A14_cna",0.00578769436106086,0.930435257603677,0,0.500961520947131
"PIK3CA_cna",0.107984617352486,0.10235859854581,0,0.392277247976475
"CXCL9_cna",0.0837976038455963,0.20545667696866,0,0.422899410066902
"CXCL9_mut",-0.0522526651620865,0.430303589880369,NA,NA
"CXCL10_cna",0.0837976038455963,0.20545667696866,0,0.422899410066902
"CXCL11_cna",0.080708310008049,0.222721484207661,0,0.422899410066902
"TET2_cna",0.0882739722728729,0.1821865684126,0,0.46653982264712
"IL2_cna",0.0918160676956177,0.165196110383037,0,0.478070767600691
"IL2_mut",-0.105998262763023,0.108867400054299,0,1
"IRF1_cna",-0.0364790000021458,0.582044754787017,0,0.318749189077764
"HAVCR2_cna",-0.0835077613592148,0.207034174752492,0,0.139767427795805
"TAP1_cna",-0.0433729775249958,0.512784586035255,0,0.538722818558375
"IFNGR1_cna",0.177250012755394,0.00704192673753257,1,0.11420007648288
"IFNGR1_mut",0.0711631551384926,0.282497565919674,0,1
"MUC17_cna",-0.0167707446962595,0.800289098540254,0,0.465899001873508
"MUC17_mut",0.0671269968152046,0.310760090169972,0,1
"MET_cna",0.01113838609308,0.866577896462861,0,0.200888206420598
"MET_mut",0.0335661545395851,0.612558239076181,0,0.50433032970345
"IDO1_cna",-0.149324357509613,0.023513218085518,0,0.459129690295621
"JAK2_cna",0.0314449220895767,0.635211182980141,1,0.327718692242841
"JAK2_mut",0.0135631700977683,0.837896881216241,NA,NA
"CD274_cna",0.028869641944766,0.663174054308614,1,0.327718692242841
"COL5A1_cna",0.0817469879984856,0.216805238746889,0,0.434647560312239
"COL5A1_mut",0.0649901777505875,0.326448483960311,0,0.475670962037153
"ARID5B_cna",0.080778181552887,0.222319934538524,0,0.643676221751883
"OVOL1_cna",0.016665393486619,0.801517534768973,0,0.666520236153076
"LAG3_cna",-0.0151048628613353,0.819769477556017,0,0.255937534917375
"ARID2_cna",0.0100439516827464,0.87958291654154,0,0.606004196543403
"ARID2_mut",-0.106986582279205,0.105589389864651,0,0.22929926999962
"IFNG_cna",0.0342300198972225,0.605542295376992,0,0.499278974029855
"IFNG_mut",-0.025379866361618,0.701816680117282,NA,NA
"TCP11L2_cna",0.0387831553816795,0.558419116062841,0,0.830667308640858
"B2M_cna",-0.188697680830956,0.00407888367865361,-1,0.00972692762726139
"B2M_mut",0.112965285778046,0.0873870886460568,0,1
"TP53_cna",-0.136386647820473,0.0387526371901403,0,0.0455525402297697
"TP53_mut",0.0385692045092583,0.560593224314996,0,0.842038261499517
"TMEM88_cna",-0.136386647820473,0.0387526371901403,0,0.0455525402297697
"MYOCD_cna",-0.0664620324969292,0.315588343583133,0,0.36125747486766
"NCOR1_cna",-0.0396780520677567,0.549369815119477,-1,0.53526142851899
"NCOR1_mut",-0.00248822220601141,0.970062248568413,NA,NA
"NF1_cna",-0.0686579346656799,0.299829104523784,0,0.535932219651974
"NF1_mut",0.0346418879926205,0.601207593647779,0,0.642279876114292
"ALPK2_cna",-0.0788872465491295,0.233369463702163,-1,0.0930349120290947
"ALPK2_mut",0.0268377605825663,0.685572964635671,0,1
"LPAR2_cna",0.079969733953476,0.226997619912202,1,0.0924331461017965
"TGFB1_cna",0.148041576147079,0.0247478908034442,0,0.472728913915174
"TGFB1_mut",0.0783507898449898,0.236573469384871,0,1
"CIC_cna",0.163795173168182,0.0128693514694593,0,0.236757955017116
"CIC_mut",-0.0282126870006323,0.670384672687871,0,1
"CSNK2A1_cna",-0.0197666846215725,0.76557155353754,0,0.613616859117356
"ASXL1_cna",0.00315243029035628,0.962075991517229,0,0.252543547341829
"IFNGR2_cna",-0.0231087561696768,0.727390576133042,0,0.852607666901937
"EP300_cna",-0.101989902555943,0.12298840799678,0,0.404340392823069
"EP300_mut",-0.098035953938961,0.13827084706564,0,1
"DDX3X_cna",0.0229380838572979,0.729325097981354,0,0.688539033332806
"DDX3X_mut",0.0791254639625549,0.231956546352007,0,1
"SSX5_cna",0.00557840848341584,0.932944750778484,0,0.598685609501792
"FOXP3_cna",-0.00895257294178009,0.892583845341806,0,0.598685609501792
"SMC1A_cna",0.0257230997085571,0.697979875323484,0,0.663523810671572
"MORC4_cna",-0.0479525737464428,0.469255494704074,0,0.834984462119098
"CUL4B_cna",-0.0052644950337708,0.93671004017254,0,0.930740711704785
"cyt.cat",0.919878423213959,0,NA,NA
"cyt.bool",0.866057574748993,0,NA,NA
