"var","OV_rho","OV_rho_pval","OV_LH_meddelta","OV_LH_pval"
"silent",-0.0071365749463439,0.910785314485564,1,0.463498975791415
"missense",-0.0228306781500578,0.719972142075683,0,0.854776238259701
"nonstop",0.0260427687317133,0.682576677141156,0,0.315288526798311
"nonsense",-0.0359044820070267,0.572826106831445,0,0.906399648597293
"frameshift",-0.0765416547656059,0.228784470014631,0,0.404262355484298
"total",-0.0186939872801304,0.769118974094844,1,0.747399014760439
"GZMA",0.977169811725616,0,NA,NA
"PRF1",0.972423613071442,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",-0.0309415571391582,0.627031564795322,-1.04608466832318,0.702146291794893
"nmdptc_n_decayed",-0.0065775029361248,0.917748594035135,0,0.498099730949318
"nmdptc_frac_decayed",-0.0758079886436462,0.233289986442368,-0.125,0.555471235710362
"nmdptc_med",-0.0643511265516281,0.311833205732911,-0.0205241644320062,0.462932895054112
"nmdptc_med.wt",-0.0523963272571564,0.410391132139995,-0.18091630711679,0.472705409717573
"nmdptc_mean",-0.0624762289226055,0.326170187652481,-0.227030725426963,0.512559040758698
"nmdptc_mean.wt",-0.0541110597550869,0.395222337626503,-0.174522264442514,0.6381640470613
"nmdptc_mut.bool",0.0119679672643542,0.8509489109676,0,0.852144941965171
"nmdfs_max",-0.00637410022318363,0.920283573480476,0,0.95400325314361
"nmdfs_n_decayed",-0.00712092313915491,0.910980168680864,0,0.754776426587104
"nmdfs_frac_decayed",-0.0412179008126259,0.51736660096591,0,0.975783149709727
"nmdfs_med",-0.0147659480571747,0.816659982594439,0,0.509438189661667
"nmdfs_med.wt",-0.00826137792319059,0.896796968940148,0,0.393875517088284
"nmdfs_mean",-0.014535897411406,0.819467040635595,0,0.512758441341852
"nmdfs_mean.wt",-0.00666768476366997,0.916624934910853,0,0.923412867240176
"nmdfs_mut.bool",0.00571825169026852,0.928462678118782,0,1
"nmdns_max",-0.050201591104269,0.430299516285634,-2.76236415779849,0.970572655226098
"nmdns_n_decayed",-0.0278509221971035,0.661854887816828,-9009,0.474296832081813
"nmdns_frac_decayed",-0.0614896006882191,0.333883064006656,0,0.929242372935519
"nmdns_med",-0.0531841777265072,0.403379427974021,-2.61583114287559,0.980388479565287
"nmdns_med.wt",-0.0370487868785858,0.560648744284495,-3.09651765707397,0.476856477393144
"nmdns_mean",-0.053173303604126,0.403475717390791,-2.61583114287559,0.441994332546005
"nmdns_mean.wt",-0.0410507544875145,0.519068177621657,-3.09651765707397,0.441994332546005
"nmdns_mut.bool",0.0364146269857883,0.567381893099037,0,0.591810722569476
"TNFRSF4_cna",0.00742121459916234,0.907242689135398,0,0.540626108900067
"CNKSR1_cna",0.0292023494839668,0.646532581280908,0,0.58593470110917
"FUBP1_cna",-0.069580115377903,0.274061460912863,0,0.599515965751227
"IL10_cna",-0.0597652718424797,0.347641116909538,-1,0.081895500184778
"IL10_mut",-0.0132513521239161,0.835182275380637,NA,NA
"IRF6_cna",-0.0575088411569595,0.366177740318675,-1,0.0217153600679824
"DNMT3A_cna",-0.0925159305334091,0.145488086675453,0,0.522770182629703
"SOS1_cna",-0.0515033192932606,0.418425112777746,0,0.579115683378261
"CASP8_cna",-0.115014791488647,0.0700189921115908,0,0.30211503477049
"CTLA4_cna",-0.0941488370299339,0.138483822291828,0,0.588705067141655
"DNER_cna",-0.182524248957634,0.00385231560785315,0,0.0437984563432511
"PDCD1_cna",-0.191366940736771,0.00242455581137513,0,0.0495307965599436
"SLC22A14_cna",-0.115713238716125,0.0683239196652587,0,0.354283018161559
"PIK3CA_cna",0.144242033362389,0.0228121366765388,0,0.0168644909816138
"CXCL9_cna",0.179747000336647,0.00443698272707627,1,0.00292069483132391
"CXCL10_cna",0.180931493639946,0.0041784897358168,1,0.00292069483132391
"CXCL11_cna",0.180931493639946,0.0041784897358168,1,0.00292069483132391
"TET2_cna",0.244459792971611,9.72321681840249e-05,0,0.000249958272145282
"IL2_cna",0.230756044387817,0.000240061247048118,0,0.000760942789523901
"IRF1_cna",0.106025092303753,0.0950504365321412,1,0.474053772223757
"HAVCR2_cna",0.0138150127604604,0.828277956843511,0,0.626601217413524
"TAP1_cna",-0.0154890809208155,0.807851748222224,0,0.0962903311663326
"IFNGR1_cna",-0.0431876890361309,0.497532198952769,0,0.231846928894515
"MUC17_cna",-0.0199621710926294,0.753943355439734,0,0.843314887845307
"MUC17_mut",0.120806030929089,0.056952803086987,0,0.475977914695007
"MET_cna",-0.108946397900581,0.0862343388254929,-1,0.380201393718746
"IDO1_cna",-0.00160711957141757,0.9798696484808,0,0.471429243599843
"JAK2_cna",0.0602236427366734,0.34394936965079,1,0.0761603160689401
"CD274_cna",0.0767392292618752,0.227581739377146,1,0.0502576225832254
"COL5A1_cna",-0.00967824272811413,0.879222263357694,0,0.390231982628843
"ARID5B_cna",0.0944447368383408,0.137242682793127,0,0.470041537498692
"OVOL1_cna",0.072640061378479,0.253461275062517,0,0.401002632538215
"LAG3_cna",-0.102239601314068,0.107525397458684,0,0.56362744437035
"ARID2_cna",-0.13272650539875,0.0363384648662812,0,0.0890955848448259
"IFNG_cna",-0.122327208518982,0.053876990378606,0,0.00844239589516144
"TCP11L2_cna",-0.139375507831573,0.0278789177958938,0,0.00293774758711964
"B2M_cna",-0.00780765200033784,0.902436035769659,0,0.0953491931908872
"TP53_cna",-0.0927758812904358,0.144355345936074,0,0.444352779423137
"TP53_mut",-0.0185978189110756,0.770273441207349,0,0.884782175981407
"TMEM88_cna",-0.088243342936039,0.165088496687923,0,0.712349735457403
"MYOCD_cna",-0.0369391106069088,0.561810469182548,0,0.532721210947969
"NCOR1_cna",-0.0363350622355938,0.568229376388643,0,0.518936748021267
"NF1_cna",-0.0186689328402281,0.769419694856481,0,0.755789094461077
"NF1_mut",-0.0151686426252127,0.811751981787328,0,0.367879441171442
"ALPK2_cna",0.0940498039126396,0.138901126585038,0,0.167009961823661
"LPAR2_cna",-0.084917239844799,0.181666057366412,0,0.343184316975752
"TGFB1_cna",0.0699918568134308,0.271225194411349,0,0.220809611772865
"CIC_cna",0.0110885547474027,0.861787365477158,0,0.36866505975181
"CIC_mut",0.0477048680186272,0.453610615907362,NA,NA
"CSNK2A1_cna",-0.0922093540430069,0.146832678716408,0,0.301231266830483
"ASXL1_cna",0.0213331617414951,0.737643260050013,0,0.540628947120667
"IFNGR2_cna",-0.00555672775954008,0.930478234282421,0,0.498709566094785
"EP300_cna",0.175785437226295,0.0054094574715926,0,0.091735170557908
"DDX3X_cna",-0.00172558845952153,0.978386087184815,0,0.167588797090747
"SSX5_cna",0.103964984416962,0.101688300886912,1,0.341121605071116
