"var","hr","pval","hr_ci95"
"tnm_stageIV",5.9,"5.59e-02","1 to 36.8"
"nmdptc_max",0.9,"2.58e-01","0.8 to 1.1"
"age.cat>=65",14.2,"2.40e-04","3.4 to 58.3"
"gendermale",1.3,"7.24e-01","0.4 to 4.3"
"tnm_stageII",2,"5.22e-01","0.2 to 15.9"
"tnm_stageIII",1.6,"6.00e-01","0.3 to 10.1"
"tnm_stageIV",6.2,"4.33e-02","1.1 to 35.9"
"nmdptc_n_decayed",1,"3.67e-01","1 to 1"
"age.cat>=65",14.4,"2.25e-04","3.5 to 59.2"
"gendermale",1.3,"7.06e-01","0.4 to 4.5"
"tnm_stageII",1.9,"5.59e-01","0.2 to 14.9"
"tnm_stageIII",1.7,"5.66e-01","0.3 to 10.5"
"tnm_stageIV",6.1,"4.36e-02","1.1 to 35.8"
"nmdptc_frac_decayed",0.3,"1.12e-01","0.1 to 1.3"
"age.cat>=65",16.3,"8.41e-05","4.1 to 65.5"
"gendermale",1.1,"8.88e-01","0.3 to 3.7"
"tnm_stageII",2.8,"3.35e-01","0.3 to 23.5"
"tnm_stageIII",2,"4.39e-01","0.3 to 12.6"
"tnm_stageIV",7.2,"2.82e-02","1.2 to 42"
"nmdptc_med",0.8,"3.07e-01","0.6 to 1.2"
"age.cat>=65",15,"1.51e-04","3.7 to 60.8"
"gendermale",1.2,"8.21e-01","0.3 to 4"
"tnm_stageII",2.3,"4.36e-01","0.3 to 18.6"
"tnm_stageIII",1.8,"5.25e-01","0.3 to 11.1"
"tnm_stageIV",6.2,"4.31e-02","1.1 to 35.8"
"nmdptc_med.wt",0.8,"3.40e-01","0.6 to 1.2"
"age.cat>=65",15.2,"1.39e-04","3.8 to 61.8"
"gendermale",1.2,"8.20e-01","0.3 to 4"
"tnm_stageII",2.2,"4.50e-01","0.3 to 18.1"
"tnm_stageIII",1.8,"5.46e-01","0.3 to 10.9"
"tnm_stageIV",6.2,"4.20e-02","1.1 to 36.1"
"nmdptc_mean",0.8,"3.04e-01","0.6 to 1.2"
"age.cat>=65",15.1,"1.40e-04","3.7 to 61.2"
"gendermale",1.1,"8.33e-01","0.3 to 3.9"
"tnm_stageII",2.3,"4.36e-01","0.3 to 18.6"
"tnm_stageIII",1.8,"5.21e-01","0.3 to 11.2"
"tnm_stageIV",6.2,"4.17e-02","1.1 to 36.1"
"nmdptc_mean.wt",0.8,"3.42e-01","0.6 to 1.2"
"age.cat>=65",15.3,"1.37e-04","3.8 to 61.9"
"gendermale",1.2,"8.21e-01","0.3 to 4"
"tnm_stageII",2.2,"4.51e-01","0.3 to 18.1"
"tnm_stageIII",1.8,"5.45e-01","0.3 to 10.9"
"tnm_stageIV",6.2,"4.20e-02","1.1 to 36.1"
"nmdfs_max",1,"3.60e-01","0.9 to 1.1"
"age.cat>=65",16.1,"1.36e-04","3.9 to 67.4"
"gendermale",1.1,"8.98e-01","0.3 to 3.8"
"tnm_stageII",1.6,"6.64e-01","0.2 to 13.5"
"tnm_stageIII",1.5,"6.73e-01","0.2 to 9.9"
"tnm_stageIV",6.2,"4.47e-02","1 to 37.3"
