"var","hr","pval","hr_ci95"
"age.cat>=65",1.5,"2.16e-02","1.1 to 2.1"
"SLC22A14_cna",0.9,"3.36e-01","0.7 to 1.1"
"age.cat>=65",1.5,"2.04e-02","1.1 to 2.1"
"PIK3CA_cna",0.9,"4.22e-01","0.7 to 1.1"
"age.cat>=65",1.5,"1.45e-02","1.1 to 2.1"
"CXCL9_cna",1,"8.85e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.86e-02","1.1 to 2.1"
"CXCL10_cna",1,"8.26e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.85e-02","1.1 to 2.1"
"CXCL11_cna",1,"8.26e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.85e-02","1.1 to 2.1"
"TET2_cna",1,"8.48e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.94e-02","1.1 to 2.1"
"IL2_cna",1,"9.95e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.88e-02","1.1 to 2.1"
"IRF1_cna",1,"7.17e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.88e-02","1.1 to 2.1"
"HAVCR2_cna",0.9,"2.51e-01","0.7 to 1.1"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.2"
"TAP1_cna",0.8,"8.22e-03","0.6 to 0.9"
"age.cat>=65",1.5,"1.08e-02","1.1 to 2.2"
"IFNGR1_cna",0.9,"6.25e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.66e-02","1.1 to 2.1"
"MUC17_cna",1.1,"4.36e-01","0.9 to 1.4"
"age.cat>=65",1.5,"1.61e-02","1.1 to 2.1"
"MUC17_mut",1.9,"2.16e-01","0.7 to 5.1"
"age.cat>=65",1.5,"2.18e-02","1.1 to 2.1"
"MET_cna",1,"9.66e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.95e-02","1.1 to 2.1"
"IDO1_cna",1.1,"5.46e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.94e-02","1.1 to 2.1"
"JAK2_cna",1,"7.25e-01","0.8 to 1.2"
"age.cat>=65",1.5,"2.11e-02","1.1 to 2.1"
"CD274_cna",1,"8.81e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.99e-02","1.1 to 2.1"
"COL5A1_cna",1.2,"4.77e-02","1 to 1.5"
"age.cat>=65",1.5,"2.86e-02","1 to 2"
"ARID5B_cna",1.1,"5.41e-01","0.8 to 1.4"
"age.cat>=65",1.5,"1.83e-02","1.1 to 2.1"
"OVOL1_cna",0.9,"5.43e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.58e-02","1.1 to 2.1"
"LAG3_cna",1.3,"1.65e-02","1 to 1.5"
"age.cat>=65",1.4,"5.02e-02","1 to 2"
"ARID2_cna",1,"9.87e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.89e-02","1.1 to 2.1"
"IFNG_cna",1.2,"1.73e-01","0.9 to 1.5"
"age.cat>=65",1.5,"2.12e-02","1.1 to 2.1"
"TCP11L2_cna",1.1,"3.48e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.65e-02","1.1 to 2.1"
"B2M_cna",1.2,"2.34e-01","0.9 to 1.6"
"age.cat>=65",1.4,"3.50e-02","1 to 2"
"TP53_cna",0.9,"3.11e-01","0.7 to 1.1"
"age.cat>=65",1.5,"1.37e-02","1.1 to 2.1"
"TP53_mut",0.9,"1.78e-01","0.7 to 1.1"
"age.cat>=65",1.5,"1.53e-02","1.1 to 2.1"
"TMEM88_cna",0.9,"4.70e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.54e-02","1.1 to 2.1"
"MYOCD_cna",0.8,"1.15e-01","0.6 to 1.1"
"age.cat>=65",1.5,"1.61e-02","1.1 to 2.1"
"NCOR1_cna",0.7,"3.10e-02","0.5 to 1"
"age.cat>=65",1.5,"1.67e-02","1.1 to 2.1"
"NF1_cna",1,"8.92e-01","0.8 to 1.4"
"age.cat>=65",1.5,"2.00e-02","1.1 to 2.1"
"NF1_mut",0.9,"5.94e-01","0.5 to 1.5"
"age.cat>=65",1.5,"1.56e-02","1.1 to 2.1"
"ALPK2_cna",0.9,"4.81e-01","0.7 to 1.2"
"age.cat>=65",1.5,"2.63e-02","1 to 2.1"
"LPAR2_cna",1,"9.08e-01","0.8 to 1.2"
"age.cat>=65",1.5,"2.06e-02","1.1 to 2.1"
"TGFB1_cna",1.1,"2.57e-01","0.9 to 1.4"
"age.cat>=65",1.5,"1.56e-02","1.1 to 2.1"
"CIC_cna",1.1,"5.45e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.93e-02","1.1 to 2.1"
"CIC_mut",0.9,"7.74e-01","0.3 to 2.3"
"age.cat>=65",1.5,"2.01e-02","1.1 to 2.1"
"CSNK2A1_cna",1,"6.98e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.90e-02","1.1 to 2.1"
"ASXL1_cna",1.2,"1.41e-01","0.9 to 1.6"
"age.cat>=65",1.5,"1.56e-02","1.1 to 2.1"
"IFNGR2_cna",0.9,"4.59e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.89e-02","1.1 to 2.1"
"EP300_cna",0.9,"4.89e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.84e-02","1.1 to 2.1"
"DDX3X_cna",0.9,"4.82e-01","0.8 to 1.1"
"age.cat>=65",1.5,"1.80e-02","1.1 to 2.1"
"SSX5_cna",0.9,"3.95e-01","0.8 to 1.1"
"age.cat>=65",1.5,"2.23e-02","1.1 to 2.1"
"FOXP3_cna",0.9,"4.93e-01","0.8 to 1.1"
"age.cat>=65",1.5,"2.15e-02","1.1 to 2.1"
"SMC1A_cna",1,"7.89e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.90e-02","1.1 to 2.1"
"MORC4_cna",1,"7.33e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.85e-02","1.1 to 2.1"
"MORC4_mut",4.4,"1.44e-01","0.6 to 32"
"age.cat>=65",1.5,"1.64e-02","1.1 to 2.1"
"CUL4B_cna",1.1,"3.59e-01","0.9 to 1.3"
"age.cat>=65",1.5,"2.30e-02","1.1 to 2.1"
"TMB",0.7,"8.96e-03","0.5 to 0.9"
"age.cat>=65",1.6,"9.27e-03","1.1 to 2.2"
"PDL1",1,"7.20e-01","1 to 1"
"age.cat>=65",1.5,"2.14e-02","1.1 to 2.1"
"silent.catmed",0.7,"1.02e-01","0.5 to 1.1"
"silent.cathigh",0.7,"6.64e-02","0.4 to 1"
"age.cat>=65",1.5,"1.34e-02","1.1 to 2.1"
"missense.catmed",0.8,"2.85e-01","0.6 to 1.2"
"missense.cathigh",0.5,"2.08e-03","0.3 to 0.8"
"age.cat>=65",1.5,"1.19e-02","1.1 to 2.2"
"nonsense.catmed",1.1,"7.18e-01","0.7 to 1.6"
"nonsense.cathigh",0.7,"6.27e-02","0.5 to 1"
"age.cat>=65",1.6,"8.00e-03","1.1 to 2.2"
"frameshift.catmed",0.8,"3.07e-01","0.6 to 1.2"
"frameshift.cathigh",0.7,"5.54e-02","0.4 to 1"
"age.cat>=65",1.5,"1.29e-02","1.1 to 2.1"
"total.catmed",0.7,"1.02e-01","0.5 to 1.1"
"total.cathigh",0.5,"9.91e-03","0.3 to 0.9"
"age.cat>=65",1.5,"1.26e-02","1.1 to 2.1"
"GZMA.catmed",0.8,"1.46e-01","0.5 to 1.1"
"GZMA.cathigh",0.8,"2.59e-01","0.5 to 1.2"
"age.cat>=65",1.5,"1.13e-02","1.1 to 2.2"
"PRF1.catmed",0.7,"7.83e-02","0.5 to 1"
"PRF1.cathigh",0.8,"4.56e-01","0.5 to 1.3"
"age.cat>=65",1.5,"1.65e-02","1.1 to 2.1"
"nmdptc_max.catmed",0.8,"1.88e-01","0.5 to 1.1"
"nmdptc_max.cathigh",0.9,"5.63e-01","0.6 to 1.4"
"age.cat>=65",1.5,"2.45e-02","1.1 to 2.1"
"nmdptc_n_decayed.catmed",0.7,"9.19e-02","0.5 to 1.1"
"nmdptc_n_decayed.cathigh",0.9,"6.71e-01","0.6 to 1.3"
"age.cat>=65",1.5,"1.88e-02","1.1 to 2.1"
