"var","hr","pval","hr_ci95"
"nmdptc_med",1,"8.11e-01","0.9 to 1.1"
"age.cat>=65",1.5,"1.29e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.06e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.47e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.50e-01","0.8 to 1.9"
"nmdptc_med.wt",1,"6.63e-01","0.9 to 1.1"
"age.cat>=65",1.5,"1.22e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.11e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.46e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.47e-01","0.8 to 1.9"
"nmdptc_mean",1,"7.73e-01","0.9 to 1.1"
"age.cat>=65",1.5,"1.27e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.06e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.48e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.47e-01","0.8 to 1.9"
"nmdptc_mean.wt",1,"6.55e-01","0.9 to 1.1"
"age.cat>=65",1.5,"1.22e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.11e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.47e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.46e-01","0.8 to 1.9"
"nmdfs_max",1,"5.10e-01","1 to 1"
"age.cat>=65",1.5,"1.21e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.63e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.66e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.96e-01","0.7 to 1.8"
"nmdfs_n_decayed",1,"3.26e-01","1 to 1"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.65e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.83e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.84e-01","0.7 to 1.8"
"nmdfs_frac_decayed",0.9,"7.59e-01","0.5 to 1.6"
"age.cat>=65",1.5,"1.31e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.45e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.37e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.78e-01","0.7 to 1.9"
"nmdfs_med",1.1,"3.70e-01","0.9 to 1.2"
"age.cat>=65",1.5,"1.27e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.08e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.38e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.49e-01","0.8 to 1.9"
"nmdfs_med.wt",1.1,"3.76e-01","0.9 to 1.2"
"age.cat>=65",1.5,"1.30e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.09e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.30e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.60e-01","0.8 to 1.9"
"nmdfs_mean",1.1,"3.86e-01","0.9 to 1.2"
"age.cat>=65",1.5,"1.28e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.09e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.37e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.46e-01","0.8 to 1.9"
"nmdfs_mean.wt",1.1,"3.74e-01","0.9 to 1.2"
"age.cat>=65",1.5,"1.30e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.09e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.30e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.59e-01","0.8 to 1.9"
"nmdns_max",1,"6.23e-01","1 to 1"
"age.cat>=65",1.6,"1.18e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.46e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.64e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.68e-01","0.8 to 1.9"
"nmdns_n_decayed",1,"4.33e-01","1 to 1"
"age.cat>=65",1.6,"1.10e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.50e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.55e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.62e-01","0.8 to 1.9"
"nmdns_frac_decayed",1.3,"2.65e-01","0.8 to 2"
"age.cat>=65",1.6,"9.60e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"1.04e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"4.18e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.19e-01","0.8 to 1.9"
"nmdns_med",1,"2.95e-01","1 to 1.1"
"age.cat>=65",1.6,"9.47e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"1.32e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.74e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.19e-01","0.8 to 1.9"
"nmdns_med.wt",1,"2.91e-01","1 to 1.1"
"age.cat>=65",1.6,"9.35e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"1.39e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.65e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.26e-01","0.8 to 1.9"
"nmdns_mean",1,"3.01e-01","1 to 1.1"
"age.cat>=65",1.6,"9.44e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"1.26e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.79e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.18e-01","0.8 to 1.9"
"nmdns_mean.wt",1,"2.89e-01","1 to 1.1"
"age.cat>=65",1.6,"9.30e-03","1.1 to 2.2"
"TMB.cathigh",0.6,"1.38e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.66e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.26e-01","0.8 to 1.9"
"TNFRSF4_cna",1,"9.71e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.36e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.08e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.91e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.66e-01","0.7 to 1.9"
"CNKSR1_cna",1.1,"4.52e-01","0.9 to 1.3"
"age.cat>=65",1.5,"1.22e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.12e-03","0.4 to 0.8"
"PDL1.catmed",0.6,"2.79e-02","0.4 to 1"
"PDL1.cathigh",1.2,"5.47e-01","0.7 to 1.8"
"FUBP1_cna",0.9,"6.47e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.57e-02","1.1 to 2.1"
"TMB.cathigh",0.6,"1.14e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"4.03e-02","0.4 to 1"
