"var","hr","pval","hr_ci95"
"COL5A1_mut",1.1,"7.17e-01","0.8 to 1.5"
"ARID5B_cna",0.7,"4.02e-11","0.7 to 0.8"
"ARID5B_mut",0.7,"1.98e-01","0.5 to 1.2"
"OVOL1_cna",1,"8.05e-01","0.9 to 1.1"
"OVOL1_mut",0,"9.79e-01","0 to Inf"
"LAG3_cna",1.2,"5.64e-05","1.1 to 1.3"
"LAG3_mut",2.9,"3.11e-02","1.1 to 7.9"
"ARID2_cna",1.1,"8.88e-02","1 to 1.2"
"ARID2_mut",1.1,"1.29e-01","1 to 1.3"
"IFNG_cna",1.1,"3.98e-03","1 to 1.3"
"IFNG_mut",0,"9.82e-01","0 to Inf"
"TCP11L2_cna",1.1,"4.38e-02","1 to 1.2"
"TCP11L2_mut",0.4,"1.42e-01","0.1 to 1.3"
"B2M_cna",0.8,"1.67e-04","0.8 to 0.9"
"B2M_mut",1.1,"2.91e-01","0.9 to 1.4"
"TP53_cna",0.9,"1.00e-01","0.9 to 1"
"TP53_mut",1.2,"4.82e-06","1.1 to 1.3"
"TMEM88_cna",0.9,"1.70e-01","0.9 to 1"
"MYOCD_cna",0.9,"2.71e-03","0.8 to 1"
"MYOCD_mut",1.2,"3.75e-01","0.8 to 1.8"
"NCOR1_cna",0.9,"1.87e-02","0.8 to 1"
"NCOR1_mut",1,"7.81e-01","0.7 to 1.3"
"NF1_cna",1,"5.62e-01","0.9 to 1.1"
"NF1_mut",1.2,"1.45e-05","1.1 to 1.3"
"ALPK2_cna",0.8,"3.04e-06","0.8 to 0.9"
"ALPK2_mut",0.7,"1.91e-01","0.4 to 1.2"
"LPAR2_cna",0.9,"1.59e-02","0.8 to 1"
"LPAR2_mut",1.1,"8.18e-01","0.5 to 2.2"
"TGFB1_cna",1,"7.01e-01","0.9 to 1.1"
"TGFB1_mut",0,"9.82e-01","0 to Inf"
"CIC_cna",1,"6.87e-01","0.9 to 1.1"
"CIC_mut",1.1,"2.85e-01","0.9 to 1.4"
"CSNK2A1_cna",1.3,"2.29e-07","1.2 to 1.4"
"CSNK2A1_mut",1.5,"9.67e-02","0.9 to 2.5"
"ASXL1_cna",1.4,"5.59e-12","1.2 to 1.5"
"ASXL1_mut",1,"8.36e-01","0.7 to 1.5"
"IFNGR2_cna",0.9,"1.90e-02","0.8 to 1"
"IFNGR2_mut",1.2,"4.80e-01","0.7 to 1.9"
"EP300_cna",0.9,"4.29e-03","0.8 to 1"
"EP300_mut",0.9,"4.91e-01","0.7 to 1.2"
"DDX3X_cna",0.8,"5.81e-07","0.7 to 0.9"
"DDX3X_mut",0.8,"4.53e-01","0.4 to 1.4"
"SSX5_cna",0.8,"9.68e-08","0.7 to 0.9"
"SSX5_mut",0,"9.78e-01","0 to Inf"
"FOXP3_cna",0.8,"2.11e-07","0.7 to 0.9"
"FOXP3_mut",0.6,"6.03e-01","0.1 to 3.4"
"SMC1A_cna",0.8,"4.82e-06","0.7 to 0.9"
"SMC1A_mut",1.1,"8.38e-01","0.6 to 2"
"MORC4_cna",0.9,"1.73e-03","0.8 to 0.9"
"MORC4_mut",0.6,"1.40e-01","0.3 to 1.2"
"CUL4B_cna",0.9,"6.15e-02","0.8 to 1"
"CUL4B_mut",0.8,"4.34e-01","0.4 to 1.4"
"TMB",1,"3.64e-01","1 to 1"
"PDL1",1,"1.14e-01","1 to 1"
"silent.catmed",2.2,"0.00e+00","1.9 to 2.6"
"silent.cathigh",2.5,"0.00e+00","2.1 to 2.9"
"missense.catmed",2.3,"0.00e+00","2 to 2.7"
"missense.cathigh",2.7,"0.00e+00","2.3 to 3.2"
"nonsense.catmed",1.8,"0.00e+00","1.6 to 2.1"
"nonsense.cathigh",2,"0.00e+00","1.7 to 2.3"
"frameshift.catmed",1.2,"2.45e-03","1.1 to 1.4"
"frameshift.cathigh",1.3,"5.37e-04","1.1 to 1.5"
"total.catmed",2.4,"0.00e+00","2.1 to 2.9"
"total.cathigh",2.8,"0.00e+00","2.4 to 3.3"
"GZMA.catmed",0.8,"5.97e-03","0.7 to 1"
"GZMA.cathigh",0.8,"8.32e-03","0.7 to 1"
"PRF1.catmed",1,"9.18e-01","0.9 to 1.1"
"PRF1.cathigh",1.1,"2.55e-01","0.9 to 1.3"
"nmdptc_max.catmed",1.5,"3.71e-08","1.3 to 1.7"
