"","cancertype","nmdmetric","diff","pval","qval"
"1","BLCA","nmdptc_frac_decayed",-0.05,0.538510682819876,0.919227155268715
"2","BLCA","nmdptc_med",-0.111826692635819,0.319763011667798,0.757333448686891
"3","BLCA","nmdptc_med.wt",-0.00881367901963812,0.539279931090979,0.919227155268715
"4","BLCA","nmdptc_mean",-0.284239751646711,0.113366821505384,0.608519269776876
"5","BLCA","nmdptc_mean.wt",0.000406389015227859,0.464769026707005,0.893786589821164
"6","BLCA","nmdfs_frac_decayed",0,0.402412858002861,0.859097979717438
"7","BLCA","nmdfs_med",0.250927898601918,0.340628051916422,0.774154663446414
"8","BLCA","nmdfs_med.wt",0.0637139168626933,0.227417361994676,0.655104853346819
"9","BLCA","nmdfs_mean",-0.0219570134158842,0.539144458927533,0.919227155268715
"10","BLCA","nmdfs_mean.wt",0.0302961376537983,0.319601432410022,0.757333448686891
"11","BLCA","nmdns_frac_decayed",-0.11492673992674,0.155265931067398,0.608519269776876
"12","BLCA","nmdns_med",-0.534505798451116,0.0104234993921386,0.167520525945084
"13","BLCA","nmdns_med.wt",-0.0412717797209834,0.132838520140352,0.608519269776876
"14","BLCA","nmdns_mean",-0.728395288404284,0.0104234993921386,0.167520525945084
"15","BLCA","nmdns_mean.wt",-0.0692063216425712,0.0489851417924192,0.504945345622464
"16","BRCA","nmdptc_frac_decayed",0.0285714285714286,0.884326490364445,0.994867301660001
"17","BRCA","nmdptc_med",-0.00593282793816075,0.988534135975295,1
"18","BRCA","nmdptc_med.wt",0.0416511780810282,0.913355041549449,1
"19","BRCA","nmdptc_mean",-0.127617999277218,0.558485925838915,0.924698528521998
"20","BRCA","nmdptc_mean.wt",-0.0135825535462729,0.332548031907811,0.763503134482219
"21","BRCA","nmdfs_frac_decayed",0.181818181818182,0.501405722537833,0.919227155268715
"22","BRCA","nmdfs_med",0.0736618228452544,0.265280132110582,0.710571782439058
"23","BRCA","nmdfs_med.wt",0.134715221358093,0.214257922771302,0.655104853346819
"24","BRCA","nmdfs_mean",0.17168415268454,0.280711975188622,0.725979246177471
"25","BRCA","nmdfs_mean.wt",0.108060572358999,0.451445447176214,0.891010751005685
"26","BRCA","nmdns_frac_decayed",0.1,0.241912729143109,0.667615992183389
"27","BRCA","nmdns_med",0.258596117267189,0.506056387946248,0.919227155268715
"28","BRCA","nmdns_med.wt",0.308545750623663,0.440228033867151,0.885181928947337
"29","BRCA","nmdns_mean",0.195469262542075,0.585344589306153,0.924698528521998
"30","BRCA","nmdns_mean.wt",0.25438150072252,0.562518135817514,0.924698528521998
"31","CESC","nmdptc_frac_decayed",-0.0667441949530543,0.665750886512585,0.951032084619063
"32","CESC","nmdptc_med",-0.0202915217926556,0.416185243507559,0.859097979717438
"33","CESC","nmdptc_med.wt",-0.00057587378033767,0.855172264641318,0.990412742104025
"34","CESC","nmdptc_mean",0.0439895903762468,0.909153713998795,1
"35","CESC","nmdptc_mean.wt",0.00570396093774702,0.883356770486261,0.994867301660001
"36","CESC","nmdfs_frac_decayed",0.212121212121212,0.820515780406976,0.989551049611417
"37","CESC","nmdfs_med",-0.207049331421991,0.893432997289424,0.998683066738416
"38","CESC","nmdfs_med.wt",0.0796896169406756,0.94659701737118,1
"39","CESC","nmdfs_mean",-0.139065013054306,0.788988499430589,0.986235624288236
"40","CESC","nmdfs_mean.wt",-0.0248115599947115,0.867161378642191,0.990412742104025
"41","CESC","nmdns_frac_decayed",-0.0072996094476474,0.535676208886499,0.919227155268715
"42","CESC","nmdns_med",-0.116713986985842,0.311455203253585,0.757333448686891
"43","CESC","nmdns_med.wt",-0.00203193651579503,0.678269928892244,0.951032084619063
"44","CESC","nmdns_mean",0.050690949961584,0.781617096960599,0.982571423435558
"45","CESC","nmdns_mean.wt",-0.00978278089061347,0.659531645546378,0.951032084619063
"46","COADREAD","nmdptc_frac_decayed",-0.0939189189189189,0.52426418687538,0.919227155268715
"47","COADREAD","nmdptc_med",0.139761661189036,0.645755751571256,0.950869758265225
"48","COADREAD","nmdptc_med.wt",0.0981317651473997,0.190778000148642,0.641695085644563
"49","COADREAD","nmdptc_mean",0.0440380136388864,0.979591836734693,1
"50","COADREAD","nmdptc_mean.wt",0.0947611382174346,0.285714285714286,0.73051948051948
"51","COADREAD","nmdfs_frac_decayed",0.407813070463673,0.16579565319056,0.63169301388942
"52","COADREAD","nmdfs_med",0.722795378234579,0.215913225661658,0.655104853346819
"53","COADREAD","nmdfs_med.wt",0.833067561136385,0.128430980884225,0.608519269776876
"54","COADREAD","nmdfs_mean",0.658786909162074,0.243308939373502,0.667615992183389
"55","COADREAD","nmdfs_mean.wt",0.824290104013626,0.128430980884225,0.608519269776876
"56","COADREAD","nmdns_frac_decayed",-0.609432571849668,0.110743535663993,0.608519269776876
"57","COADREAD","nmdns_med",-0.434042841778386,0.190426959355561,0.641695085644563
"58","COADREAD","nmdns_med.wt",-0.227908300634222,0.12809961180777,0.608519269776876
"59","COADREAD","nmdns_mean",-0.454783880507044,0.36734693877551,0.810324129651861
"60","COADREAD","nmdns_mean.wt",-0.231394423962473,0.122448979591837,0.608519269776876
"61","GBMLGG","nmdptc_frac_decayed",0.2,0.986307472226733,1
"62","GBMLGG","nmdptc_med",0.115149765483281,0.865505420305502,0.990412742104025
"63","GBMLGG","nmdptc_med.wt",-0.0389445700274703,0.925034021947276,1
"64","GBMLGG","nmdptc_mean",0.0867194095896276,0.808842239184679,0.989551049611417
"65","GBMLGG","nmdptc_mean.wt",-0.0106144300663,0.974267909724012,1
