"var","pancancer_rho","pancancer_rho_pval","pancancer_LH_meddelta","pancancer_LH_pval"
"silent",0.258219569921494,0,2,0.00885804242676797
"missense",0.26051265001297,0,4,0.0053826512158945
"nonstop",0.109398536384106,4.44089209850063e-15,0,2.56539506636216e-07
"nonsense",0.245149463415146,0,0,0.000488649119605458
"frameshift",0.14794510602951,0,-1,0.00676210652426986
"total",0.269035130739212,0,7,0.011996552477943
"GZMA",0.97197026014328,0,NA,NA
"PRF1",0.962359726428986,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.00658039562404156,0.638085824031835,-0.0661085677974955,0.379041442618744
"nmdptc_n_decayed",0.0957820490002632,6.77324862863316e-12,1,0.000839009015688718
"nmdptc_frac_decayed",-0.129890382289886,0,-0.157686453576865,4.79761119700891e-09
"nmdptc_med",-0.122739978134632,0,-0.207847353754666,8.43321372287585e-11
"nmdptc_med.wt",-0.142484679818153,0,-0.0441186554783302,0.463729268467462
"nmdptc_mean",-0.140526682138443,0,-0.238219080630737,4.4787380455604e-14
"nmdptc_mean.wt",-0.153437912464142,0,-0.0629449717156089,9.61683616067777e-13
"nmdptc_mut.bool",0.0757718309760094,5.82710342200699e-08,0,0.895611336201292
"nmdfs_max",-0.0751450508832932,7.48873656419846e-08,-0.0645978130146692,0.0904438943781591
"nmdfs_n_decayed",-0.0287444554269314,0.0398693152309566,0,0.311203092148483
"nmdfs_frac_decayed",-0.108907602727413,5.77315972805081e-15,-0.275372257053291,1.34513132389937e-05
"nmdfs_med",-0.0941271856427193,1.54871671043111e-11,-0.251333946498741,4.78282883828736e-08
"nmdfs_med.wt",-0.106050595641136,2.93098878501041e-14,-0.0985781754095449,0.491934906484369
"nmdfs_mean",-0.101613283157349,3.28181926079196e-13,-0.266095589712175,8.72859554370278e-10
"nmdfs_mean.wt",-0.1122822239995,8.88178419700125e-16,-0.11165851096197,4.72467447944799e-08
"nmdfs_mut.bool",0.0656132698059082,2.66415651295482e-06,0,0.590876463501324
"nmdns_max",-0.106835335493088,1.86517468137026e-14,-0.332246160279379,0.810452244179778
"nmdns_n_decayed",-0.0475599430501461,0.000670058431007314,0.5,0.000581740701296398
"nmdns_frac_decayed",-0.159840390086174,0,-0.395652173913043,2.98413158124658e-07
"nmdns_med",-0.162319034337997,0,-0.387949648805071,5.15104692542496e-09
"nmdns_med.wt",-0.184703379869461,0,-0.197219180920449,0.483743174302921
"nmdns_mean",-0.172398179769516,0,-0.426398135221257,0.495327968464053
"nmdns_mean.wt",-0.189341306686401,0,-0.20488700436822,0.495327968464053
"nmdns_mut.bool",0.150362268090248,0,0,0.000176364400368545
"TNFRSF4_cna",0.0810843929648399,6.41606123785721e-09,0,3.10721277772819e-08
"TNFRSF4_mut",0.00614672340452671,0.660388640868269,0,1
"CNKSR1_cna",0.0972760543227196,3.17168513674915e-12,0,4.32596140767449e-12
"CNKSR1_mut",0.0306252557784319,0.0285510573185928,0,0.220131638038146
"FUBP1_cna",0.0842746198177338,1.59207091954272e-09,0,3.30706709269979e-10
"FUBP1_mut",-0.0539269968867302,0.000114529221466153,0,0.656572514581491
"IL10_cna",0.0391859710216522,0.00507680726267368,0,3.5783529183315e-07
"IL10_mut",0.0103402938693762,0.459814768540376,0,1
