"var","hr","pval","hr_ci95"
"nmdptc_n_decayed",1,"6.29e-01","1 to 1"
"age.cat>=65",1.3,"1.83e-01","0.9 to 2.1"
"gendermale",1,"9.93e-01","0.7 to 1.5"
"tnm_stageII",3,"5.32e-05","1.8 to 5.2"
"tnm_stageIII",3.8,"4.28e-07","2.3 to 6.5"
"tnm_stageIV",3.1,"1.28e-02","1.3 to 7.6"
"nmdptc_frac_decayed",1,"9.07e-01","0.5 to 2"
"age.cat>=65",1.4,"1.63e-01","0.9 to 2.1"
"gendermale",1,"9.86e-01","0.7 to 1.5"
"tnm_stageII",3,"6.35e-05","1.7 to 5.1"
"tnm_stageIII",3.8,"6.40e-07","2.2 to 6.4"
"tnm_stageIV",3.1,"1.20e-02","1.3 to 7.7"
"nmdptc_med",1.1,"5.61e-01","0.8 to 1.4"
"age.cat>=65",1.4,"1.37e-01","0.9 to 2.1"
"gendermale",1,"9.87e-01","0.7 to 1.5"
"tnm_stageII",2.9,"1.07e-04","1.7 to 5"
"tnm_stageIII",3.7,"1.10e-06","2.2 to 6.2"
"tnm_stageIV",3.1,"1.33e-02","1.3 to 7.6"
"nmdptc_med.wt",1,"9.55e-01","0.5 to 1.9"
"age.cat>=65",1.4,"1.69e-01","0.9 to 2.1"
"gendermale",1,"9.90e-01","0.7 to 1.5"
"tnm_stageII",3,"6.22e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.50e-07","2.2 to 6.4"
"tnm_stageIV",3.1,"1.21e-02","1.3 to 7.7"
"nmdptc_mean",1.1,"4.21e-01","0.9 to 1.4"
"age.cat>=65",1.4,"1.24e-01","0.9 to 2.2"
"gendermale",1,"9.98e-01","0.7 to 1.5"
"tnm_stageII",2.9,"1.15e-04","1.7 to 4.9"
"tnm_stageIII",3.7,"1.24e-06","2.2 to 6.2"
"tnm_stageIV",3.1,"1.25e-02","1.3 to 7.6"
"nmdptc_mean.wt",1,"9.35e-01","0.5 to 2"
"age.cat>=65",1.4,"1.62e-01","0.9 to 2.1"
"gendermale",1,"9.88e-01","0.7 to 1.5"
"tnm_stageII",3,"6.29e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.89e-07","2.2 to 6.4"
"tnm_stageIV",3.1,"1.20e-02","1.3 to 7.7"
"nmdfs_max",1.1,"2.83e-01","1 to 1.2"
"age.cat>=65",1.5,"1.01e-01","0.9 to 2.3"
"gendermale",1,"9.94e-01","0.7 to 1.5"
"tnm_stageII",2.9,"8.87e-05","1.7 to 5"
"tnm_stageIII",3.7,"1.05e-06","2.2 to 6.2"
"tnm_stageIV",3.4,"8.24e-03","1.4 to 8.4"
"nmdfs_n_decayed",1,"1.99e-01","1 to 1"
"age.cat>=65",1.5,"9.78e-02","0.9 to 2.3"
"gendermale",1,"9.71e-01","0.6 to 1.5"
"tnm_stageII",2.9,"8.40e-05","1.7 to 5"
"tnm_stageIII",3.7,"7.69e-07","2.2 to 6.2"
"tnm_stageIV",3.3,"8.97e-03","1.3 to 8.1"
"nmdfs_frac_decayed",1.2,"6.08e-01","0.6 to 2.1"
"age.cat>=65",1.4,"1.39e-01","0.9 to 2.1"
"gendermale",1,"9.92e-01","0.7 to 1.5"
"tnm_stageII",2.9,"8.69e-05","1.7 to 5"
"tnm_stageIII",3.7,"1.36e-06","2.2 to 6.2"
"tnm_stageIV",3.1,"1.21e-02","1.3 to 7.7"
"nmdfs_med",1.1,"3.24e-01","0.9 to 1.3"
"age.cat>=65",1.4,"1.16e-01","0.9 to 2.2"
"gendermale",1,"9.99e-01","0.6 to 1.5"
"tnm_stageII",2.9,"8.00e-05","1.7 to 5"
"tnm_stageIII",3.7,"8.57e-07","2.2 to 6.2"
"tnm_stageIV",3.4,"8.65e-03","1.4 to 8.3"
"nmdfs_med.wt",1.1,"3.15e-01","0.9 to 1.4"
"age.cat>=65",1.4,"1.15e-01","0.9 to 2.2"
"gendermale",1,"9.92e-01","0.6 to 1.5"
"tnm_stageII",2.9,"9.18e-05","1.7 to 4.9"
"tnm_stageIII",3.7,"7.08e-07","2.2 to 6.3"
"tnm_stageIV",3.4,"7.82e-03","1.4 to 8.6"
"nmdfs_mean",1.1,"2.36e-01","0.9 to 1.3"
"age.cat>=65",1.4,"1.02e-01","0.9 to 2.2"
"gendermale",1,"9.94e-01","0.7 to 1.5"
"tnm_stageII",2.9,"1.09e-04","1.7 to 4.9"
"tnm_stageIII",3.7,"7.58e-07","2.2 to 6.2"
"tnm_stageIV",3.3,"8.63e-03","1.4 to 8.2"
"nmdfs_mean.wt",1.1,"3.01e-01","0.9 to 1.4"
"age.cat>=65",1.4,"1.11e-01","0.9 to 2.2"
"gendermale",1,"9.89e-01","0.6 to 1.5"
"tnm_stageII",2.9,"9.68e-05","1.7 to 4.9"
"tnm_stageIII",3.7,"7.07e-07","2.2 to 6.2"
"tnm_stageIV",3.4,"7.73e-03","1.4 to 8.6"
"nmdns_max",0.9,"1.82e-01","0.9 to 1"
"age.cat>=65",1.4,"1.43e-01","0.9 to 2.1"
"gendermale",1,"9.69e-01","0.7 to 1.6"
"tnm_stageII",3.2,"2.61e-05","1.9 to 5.6"
"tnm_stageIII",4,"2.18e-07","2.4 to 6.9"
"tnm_stageIV",3.2,"1.18e-02","1.3 to 7.7"
"nmdns_n_decayed",1,"2.66e-01","0.9 to 1"
"age.cat>=65",1.4,"1.60e-01","0.9 to 2.1"
"gendermale",1,"9.65e-01","0.6 to 1.5"
"tnm_stageII",3.1,"3.41e-05","1.8 to 5.4"
"tnm_stageIII",3.8,"3.70e-07","2.3 to 6.5"
"tnm_stageIV",3.1,"1.23e-02","1.3 to 7.7"
"nmdns_frac_decayed",0.9,"8.20e-01","0.5 to 1.8"
"age.cat>=65",1.4,"1.54e-01","0.9 to 2.1"
"gendermale",1,"9.80e-01","0.7 to 1.5"
"tnm_stageII",3,"7.42e-05","1.7 to 5.2"
"tnm_stageIII",3.8,"4.82e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.19e-02","1.3 to 7.7"
"nmdns_med",1,"5.85e-01","0.8 to 1.1"
"age.cat>=65",1.4,"1.58e-01","0.9 to 2.1"
"gendermale",1,"9.84e-01","0.6 to 1.5"
"tnm_stageII",3.1,"5.55e-05","1.8 to 5.3"
"tnm_stageIII",3.8,"4.35e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.16e-02","1.3 to 7.8"
"nmdns_med.wt",0.9,"4.20e-01","0.8 to 1.1"
"age.cat>=65",1.4,"1.58e-01","0.9 to 2.1"
"gendermale",1,"9.69e-01","0.6 to 1.5"
"tnm_stageII",3.1,"4.29e-05","1.8 to 5.3"
"tnm_stageIII",3.8,"4.27e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.14e-02","1.3 to 7.8"
"nmdns_mean",1,"6.29e-01","0.9 to 1.1"
"age.cat>=65",1.4,"1.58e-01","0.9 to 2.1"
"gendermale",1,"9.98e-01","0.6 to 1.5"
"tnm_stageII",3,"5.88e-05","1.8 to 5.2"
"tnm_stageIII",3.8,"4.40e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.15e-02","1.3 to 7.8"
"nmdns_mean.wt",0.9,"4.38e-01","0.8 to 1.1"
"age.cat>=65",1.4,"1.57e-01","0.9 to 2.1"
"gendermale",1,"9.71e-01","0.6 to 1.5"
"tnm_stageII",3.1,"4.42e-05","1.8 to 5.3"
"tnm_stageIII",3.8,"4.32e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.15e-02","1.3 to 7.8"
"TNFRSF4_cna",1.1,"5.26e-01","0.8 to 1.4"
"age.cat>=65",1.4,"1.62e-01","0.9 to 2.1"
"gendermale",1,"8.46e-01","0.7 to 1.6"
"tnm_stageII",2.9,"6.78e-05","1.7 to 5"
"tnm_stageIII",3.9,"4.80e-07","2.3 to 6.7"
"tnm_stageIV",3,"1.68e-02","1.2 to 7.4"
"CNKSR1_cna",0.9,"2.45e-01","0.7 to 1.1"
"age.cat>=65",1.4,"1.38e-01","0.9 to 2.1"
"gendermale",1,"9.05e-01","0.6 to 1.5"
"tnm_stageII",2.9,"7.24e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.93e-07","2.3 to 6.4"
"tnm_stageIV",3.3,"9.23e-03","1.3 to 8.1"
"FUBP1_cna",1.3,"8.28e-02","1 to 1.7"
"age.cat>=65",1.4,"1.08e-01","0.9 to 2.2"
"gendermale",1.1,"7.75e-01","0.7 to 1.7"
"tnm_stageII",3,"4.39e-05","1.8 to 5.2"
"tnm_stageIII",4,"1.97e-07","2.4 to 6.7"
"tnm_stageIV",3.1,"1.29e-02","1.3 to 7.6"
"FUBP1_mut",1.8,"2.99e-01","0.6 to 5.4"
"age.cat>=65",1.4,"1.47e-01","0.9 to 2.1"
"gendermale",1,"9.36e-01","0.7 to 1.6"
"tnm_stageII",3,"5.28e-05","1.8 to 5.1"
"tnm_stageIII",3.8,"5.74e-07","2.2 to 6.3"
"tnm_stageIV",3.2,"1.17e-02","1.3 to 7.7"
"IL10_cna",1,"7.79e-01","0.7 to 1.4"
"age.cat>=65",1.4,"1.49e-01","0.9 to 2.1"
"gendermale",1,"9.51e-01","0.7 to 1.6"
"tnm_stageII",3,"6.12e-05","1.7 to 5.1"
"tnm_stageIII",3.8,"4.75e-07","2.3 to 6.4"
"tnm_stageIV",3.2,"1.17e-02","1.3 to 7.7"
"IRF6_cna",0.8,"1.47e-01","0.6 to 1.1"
"age.cat>=65",1.4,"1.30e-01","0.9 to 2.1"
"gendermale",1.1,"7.95e-01","0.7 to 1.6"
"tnm_stageII",3.1,"3.54e-05","1.8 to 5.3"
"tnm_stageIII",3.9,"3.16e-07","2.3 to 6.6"
"tnm_stageIV",3.3,"9.32e-03","1.3 to 8"
"IRF6_mut",3.6,"1.35e-02","1.3 to 10"
"age.cat>=65",1.3,"1.84e-01","0.9 to 2.1"
"gendermale",1,"9.12e-01","0.7 to 1.6"
"tnm_stageII",3.1,"4.34e-05","1.8 to 5.2"
"tnm_stageIII",3.9,"3.00e-07","2.3 to 6.6"
"tnm_stageIV",3.2,"1.09e-02","1.3 to 7.8"
"DNMT3A_cna",1.4,"1.18e-01","0.9 to 2"
"age.cat>=65",1.5,"9.03e-02","0.9 to 2.3"
"gendermale",0.9,"5.92e-01","0.6 to 1.4"
"tnm_stageII",2.9,"8.74e-05","1.7 to 4.9"
"tnm_stageIII",3.6,"1.43e-06","2.1 to 6"
"tnm_stageIV",3.1,"1.38e-02","1.3 to 7.5"
"DNMT3A_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.4,"1.56e-01","0.9 to 2.1"
"gendermale",1,"9.86e-01","0.7 to 1.5"
"tnm_stageII",3,"6.32e-05","1.7 to 5"
"tnm_stageIII",3.8,"4.97e-07","2.2 to 6.3"
"tnm_stageIV",3.1,"1.22e-02","1.3 to 7.7"
