"var","hr","pval","hr_ci95"
"SSX5_cna",3,"1.95e-01","0.6 to 15.2"
"FOXP3_cna",3,"1.95e-01","0.6 to 15.2"
"SMC1A_cna",5.6,"9.31e-02","0.7 to 41.7"
"MORC4_cna",4.1,"1.20e-01","0.7 to 24.5"
"CUL4B_cna",4.1,"1.20e-01","0.7 to 24.5"
"TMB",5.6,"4.83e-03","1.7 to 18.8"
"PDL1",1,"6.89e-01","1 to 1"
"silent.catmed",1.4,"6.33e-01","0.3 to 6.4"
"silent.cathigh",3.2,"9.06e-02","0.8 to 12.4"
"missense.catmed",0.8,"7.83e-01","0.2 to 3.4"
"missense.cathigh",2.2,"2.73e-01","0.5 to 8.7"
"nonsense.catmed",NA," NA","NA to NA"
"nonsense.cathigh",2.4,"1.13e-01","0.8 to 7.2"
"frameshift.catmed",NA," NA","NA to NA"
"frameshift.cathigh",2.5,"1.15e-01","0.8 to 8.1"
"total.catmed",1.2,"8.18e-01","0.2 to 6.3"
"total.cathigh",3.9,"8.75e-02","0.8 to 19"
"GZMA.catmed",1.2,"7.87e-01","0.3 to 4.4"
"GZMA.cathigh",0.5,"4.64e-01","0.1 to 3.1"
"PRF1.catmed",0.8,"6.58e-01","0.2 to 2.6"
"PRF1.cathigh",0.6,"5.46e-01","0.1 to 2.8"
"nmdptc_max.catmed",0.8,"6.28e-01","0.2 to 2.3"
"nmdptc_max.cathigh",0.2,"1.30e-01","0 to 1.6"
"nmdptc_n_decayed.catmed",0.7,"6.50e-01","0.2 to 2.7"
"nmdptc_n_decayed.cathigh",0.2,"1.30e-01","0 to 1.6"
"nmdptc_frac_decayed.catmed",0.1,"5.50e-02","0 to 1"
"nmdptc_frac_decayed.cathigh",0.4,"1.26e-01","0.1 to 1.3"
"nmdptc_med.catmed",0.5,"2.33e-01","0.2 to 1.6"
"nmdptc_med.cathigh",0.3,"1.39e-01","0.1 to 1.5"
"nmdptc_med.wt.catmed",0.4,"1.10e-01","0.1 to 1.2"
"nmdptc_med.wt.cathigh",0.3,"9.77e-02","0.1 to 1.3"
"nmdptc_mean.catmed",0.5,"2.76e-01","0.2 to 1.7"
"nmdptc_mean.cathigh",0.3,"1.56e-01","0.1 to 1.6"
"nmdptc_mean.wt.catmed",0.4,"1.31e-01","0.1 to 1.3"
"nmdptc_mean.wt.cathigh",0.3,"1.06e-01","0.1 to 1.3"
"nmdfs_max.catmed",0.5,"3.34e-01","0.2 to 1.9"
"nmdfs_max.cathigh",0.5,"2.82e-01","0.1 to 1.8"
"nmdfs_n_decayed.catmed",0.3,"2.08e-01","0 to 2.1"
"nmdfs_n_decayed.cathigh",0.5,"2.93e-01","0.2 to 1.7"
"nmdfs_frac_decayed.catmed",0,"9.98e-01","0 to Inf"
"nmdfs_frac_decayed.cathigh",0.6,"3.45e-01","0.2 to 1.7"
"nmdfs_med.catmed",0.4,"1.46e-01","0.1 to 1.4"
"nmdfs_med.cathigh",0.6,"3.76e-01","0.2 to 1.9"
"nmdfs_med.wt.catmed",0.4,"1.53e-01","0.1 to 1.5"
"nmdfs_med.wt.cathigh",0.6,"3.84e-01","0.2 to 1.9"
"nmdfs_mean.catmed",0.5,"2.73e-01","0.1 to 1.8"
"nmdfs_mean.cathigh",0.6,"4.66e-01","0.2 to 2.2"
"nmdfs_mean.wt.catmed",0.4,"1.44e-01","0.1 to 1.4"
"nmdfs_mean.wt.cathigh",0.6,"3.73e-01","0.2 to 1.9"
"nmdns_max.catmed",0.6,"4.43e-01","0.2 to 2.2"
"nmdns_max.cathigh",0.5,"3.03e-01","0.2 to 1.8"
"nmdns_n_decayed.catmed",0,"9.97e-01","0 to Inf"
"nmdns_n_decayed.cathigh",0.4,"1.38e-01","0.1 to 1.3"
"nmdns_frac_decayed.catmed",0,"9.98e-01","0 to Inf"
"nmdns_frac_decayed.cathigh",0.6,"3.01e-01","0.2 to 1.7"
"nmdns_med.catmed",0.5,"2.68e-01","0.1 to 1.8"
"nmdns_med.cathigh",0.5,"2.17e-01","0.1 to 1.6"
"nmdns_med.wt.catmed",0.5,"2.72e-01","0.1 to 1.8"
"nmdns_med.wt.cathigh",0.5,"2.20e-01","0.1 to 1.6"
"nmdns_mean.catmed",0.7,"5.83e-01","0.2 to 2.6"
"nmdns_mean.cathigh",0.5,"3.70e-01","0.1 to 2.1"
"nmdns_mean.wt.catmed",0.5,"2.65e-01","0.1 to 1.8"
"nmdns_mean.wt.cathigh",0.5,"2.16e-01","0.1 to 1.6"
