"var","BLCA_rho","BLCA_rho_pval","BLCA_LH_meddelta","BLCA_LH_pval"
"silent",0.138753667473793,0.116835595097985,24,0.230406306680207
"missense",0.172183141112328,0.051034690182681,45,0.120692437167951
"nonstop",0.147142887115479,0.0961073050938235,0,0.180771537557478
"nonsense",0.191868141293526,0.0293857692591994,6,0.0876479891083128
"frameshift",0.00387437432073057,0.965242158391989,0,0.907734519558237
"total",0.165044039487839,0.0616041963064831,66,0.14199108054062
"GZMA",0.985279202461243,0,NA,NA
"PRF1",0.972903609275818,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.0762830898165703,0.390214116348609,0.0122898026725209,0.570558359443361
"nmdptc_n_decayed",0.362499833106995,2.42532139855811e-05,3,0.00079399990543367
"nmdptc_frac_decayed",0.019420862197876,0.827076787196994,-0.0714285714285714,0.636184962823609
"nmdptc_med",0.0272519253194332,0.759173266674973,0.00761534507496193,0.979061076354195
"nmdptc_med.wt",-0.0641767755150795,0.469951091182456,-0.0165430343664176,0.440262205298102
"nmdptc_mean",-0.0220036078244448,0.804513237276671,-0.151497179814665,0.597459372413008
"nmdptc_mean.wt",-0.214792340993881,0.0145081923308505,-0.0411006657446571,0.00367734351080313
"nmdptc_mut.bool",-0.132922038435936,0.133179403778063,0,0.332197561388374
"nmdfs_max",0.0493701323866844,0.578472000981259,0.0816894562928485,0.244307395311657
"nmdfs_n_decayed",0.114327736198902,0.197012777660332,1,0.0268429645825236
"nmdfs_frac_decayed",0.0441846735775471,0.619048207965271,0.166666666666667,0.406104542927866
"nmdfs_med",0.0582156702876091,0.512259643719464,0.338283050269985,0.253239820969371
"nmdfs_med.wt",0.00312999519519508,0.971917093235268,0.00470658887059584,0.437111020550704
"nmdfs_mean",0.0269380789250135,0.761863373999647,0.0122404749564168,0.568851130909565
"nmdfs_mean.wt",-0.0510149300098419,0.56586456229322,-0.0205629060773666,0.708242694255788
"nmdfs_mut.bool",0.0480624847114086,0.588587320253249,0,0.50218158984746
"nmdns_max",-0.0546184442937374,0.538708372864115,-0.708604527317699,0.964870817132945
"nmdns_n_decayed",0.219436168670654,0.0124688893768941,1,0.0190995907509998
"nmdns_frac_decayed",-0.0705961212515831,0.426610024905211,-0.166666666666667,0.431436128927981
"nmdns_med",-0.0140754114836454,0.874206428931121,-0.0739867018024586,0.988286958111177
"nmdns_med.wt",-0.0726246535778046,0.413408784565185,-0.0151609403983091,0.439247456660294
"nmdns_mean",-0.121629327535629,0.16972090953606,-0.517892087614442,0.439247456660294
