"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"missense",-0.00259246890462365,0.647058823529412,0.0703896405303256,0.0196078431372549,0.0335726545163167,0.0196078431372549,59.4637284239481,0.215686274509804
"nonsense",0.00218588815457061,0.549019607843137,0.0645929133415233,0.0196078431372549,0.0330718426714326,0.0196078431372549,33.3838485870816,0.254901960784314
"total",0.0136072688577237,0.352941176470588,0.0487856156349716,0.0196078431372549,0.0306327317501675,0.0196078431372549,66.0293075129369,0.0392156862745098
"silent",0.00951699233656255,0.372549019607843,0.014373800224289,0.215686274509804,0.0116549778123761,0.0784313725490196,44.8172022189916,0.843137254901961
"nonstop",-0.00137257940417975,0.686274509803922,0.00806393861352264,0.0588235294117647,0.00329279707049806,0.0588235294117647,4.81470177429293,0.352941176470588
"frameshift",0.0203565420126669,0.0392156862745098,-0.0185486679105857,1,0.000951193901590276,0.549019607843137,34.9551049253695,1
