"var","hr","pval","hr_ci95"
"cyt.catmed",1.2,"4.60e-01","0.8 to 1.9"
"cyt.cathigh",1.8,"3.12e-02","1.1 to 2.9"
"age.cat>=65",2.2,"5.71e-06","1.6 to 3.1"
"gendermale",1.1,"7.05e-01","0.8 to 1.4"
"TMB.cathigh",4.4,"2.88e-13","3 to 6.6"
"PDL1.catmed",1.2,"3.15e-01","0.8 to 1.9"
"PDL1.cathigh",2.1,"1.74e-03","1.3 to 3.4"
"cyt.bool1",2.3,"1.30e-02","1.2 to 4.3"
"age.cat>=65",1.8,"2.00e-02","1.1 to 2.9"
"gendermale",1.2,"3.02e-01","0.8 to 1.9"
"TMB.cathigh",3.3,"1.70e-04","1.8 to 6"
"PDL1.catmed",1.2,"5.74e-01","0.6 to 2.4"
"PDL1.cathigh",2,"8.09e-02","0.9 to 4.2"
"TMB.cathigh",5,"1.11e-16","3.4 to 7.3"
"age.cat>=65",2.4,"8.91e-07","1.7 to 3.3"
"gendermale",1,"8.41e-01","0.8 to 1.4"
"PDL1.catmed",1.3,"1.82e-01","0.9 to 2"
"PDL1.cathigh",2.5,"5.77e-05","1.6 to 4"
"PDL1.cat0positive",1563085.1,"9.94e-01","0 to Inf"
"age.cat>=65",2.4,"8.74e-07","1.7 to 3.3"
"gendermale",1,"8.61e-01","0.8 to 1.4"
"TMB.cathigh",5,"2.22e-16","3.4 to 7.3"
"PDL1.catmed",1.3,"2.04e-01","0.9 to 2"
"PDL1.cathigh",2.5,"7.04e-05","1.6 to 4"
"PDL1.catmed",1.3,"1.82e-01","0.9 to 2"
"PDL1.cathigh",2.5,"5.77e-05","1.6 to 4"
"age.cat>=65",2.4,"8.91e-07","1.7 to 3.3"
"gendermale",1,"8.41e-01","0.8 to 1.4"
"TMB.cathigh",5,"1.11e-16","3.4 to 7.3"
"nmdptc_mut.bool1",0.8,"4.23e-01","0.5 to 1.4"
"age.cat>=65",2.4,"8.01e-07","1.7 to 3.3"
"gendermale",1,"8.39e-01","0.8 to 1.4"
"TMB.cathigh",5.1,"1.11e-16","3.5 to 7.6"
"PDL1.catmed",1.3,"1.66e-01","0.9 to 2.1"
"PDL1.cathigh",2.6,"4.29e-05","1.6 to 4.1"
"nmdfs_mut.bool1",0.9,"3.84e-01","0.6 to 1.2"
"age.cat>=65",2.3,"1.03e-06","1.7 to 3.3"
"gendermale",1,"8.01e-01","0.8 to 1.4"
"TMB.cathigh",5.2,"2.22e-16","3.5 to 7.8"
"PDL1.catmed",1.3,"1.85e-01","0.9 to 2"
"PDL1.cathigh",2.6,"4.57e-05","1.6 to 4.1"
"nmdns_mut.bool1",1,"8.47e-01","0.7 to 1.4"
"age.cat>=65",2.4,"1.08e-06","1.7 to 3.3"
"gendermale",1,"8.45e-01","0.8 to 1.4"
"TMB.cathigh",5,"3.33e-16","3.4 to 7.4"
"PDL1.catmed",1.3,"1.79e-01","0.9 to 2"
"PDL1.cathigh",2.6,"5.78e-05","1.6 to 4"
"silent",1,"6.60e-01","1 to 1"
"age.cat>=65",2.3,"9.53e-07","1.7 to 3.3"
"gendermale",1,"8.38e-01","0.8 to 1.4"
"TMB.cathigh",4.9,"4.33e-15","3.3 to 7.3"
"PDL1.catmed",1.3,"1.87e-01","0.9 to 2"
"PDL1.cathigh",2.5,"7.29e-05","1.6 to 4"
"missense",1,"5.47e-01","1 to 1"
"age.cat>=65",2.3,"1.21e-06","1.7 to 3.3"
"gendermale",1,"8.28e-01","0.8 to 1.4"
"TMB.cathigh",4.8,"1.61e-13","3.1 to 7.2"
"PDL1.catmed",1.3,"1.86e-01","0.9 to 2"
"PDL1.cathigh",2.5,"8.32e-05","1.6 to 4"
"nonstop",2.2,"1.21e-02","1.2 to 4.1"
"age.cat>=65",2.4,"7.26e-07","1.7 to 3.3"
"gendermale",1,"7.77e-01","0.8 to 1.4"
"TMB.cathigh",5.1,"1.11e-16","3.4 to 7.4"
"PDL1.catmed",1.3,"2.08e-01","0.9 to 2"
"PDL1.cathigh",2.6,"4.63e-05","1.6 to 4.1"
"nonsense",1,"4.35e-01","1 to 1.1"
"age.cat>=65",2.4,"6.82e-07","1.7 to 3.4"
"gendermale",1,"8.96e-01","0.8 to 1.4"
"TMB.cathigh",4.8,"3.76e-14","3.2 to 7.1"
"PDL1.catmed",1.3,"2.08e-01","0.9 to 2"
"PDL1.cathigh",2.5,"1.31e-04","1.6 to 3.9"
"frameshift",1,"9.81e-01","1 to 1"
