"var","hr","pval","hr_ci95"
"cyt.catmed",1.7,"1.53e-02","1.1 to 2.7"
"cyt.cathigh",4.4,"6.25e-10","2.8 to 7"
"age.cat>=65",3.2,"3.60e-11","2.3 to 4.5"
"gendermale",1,"7.55e-01","0.8 to 1.4"
"cyt.bool1",5.5,"5.07e-11","3.3 to 9.2"
"age.cat>=65",2.2,"1.07e-03","1.4 to 3.6"
"gendermale",1.3,"2.25e-01","0.9 to 1.9"
"TMB.cathigh",5.8,"0.00e+00","4 to 8.4"
"age.cat>=65",2.5,"1.75e-07","1.8 to 3.5"
"gendermale",1.1,"7.01e-01","0.8 to 1.4"
"PDL1.cat0positive",3874145.2,"9.93e-01","0 to Inf"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.3"
"gendermale",1,"9.36e-01","0.8 to 1.4"
"PDL1.catmed",1.7,"1.53e-02","1.1 to 2.6"
"PDL1.cathigh",3.9,"2.47e-09","2.5 to 6.2"
"age.cat>=65",3.9,"2.66e-15","2.8 to 5.5"
"gendermale",1,"9.27e-01","0.7 to 1.3"
"nmdptc_mut.bool1",1.3,"3.04e-01","0.8 to 2.2"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.2"
"gendermale",1,"9.01e-01","0.8 to 1.4"
"nmdfs_mut.bool1",1.5,"2.50e-02","1 to 2"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.2"
"gendermale",1,"9.18e-01","0.8 to 1.4"
"nmdns_mut.bool1",1.4,"3.60e-02","1 to 2"
"age.cat>=65",4.2,"1.11e-16","3 to 5.9"
"gendermale",1,"8.48e-01","0.8 to 1.4"
"silent",1,"5.47e-08","1 to 1"
"age.cat>=65",4.2,"0.00e+00","3 to 5.8"
"gendermale",1,"9.06e-01","0.8 to 1.4"
"missense",1,"6.98e-13","1 to 1"
"age.cat>=65",3.8,"1.67e-15","2.7 to 5.3"
"gendermale",1,"9.16e-01","0.8 to 1.4"
"nonstop",1.9,"3.89e-02","1 to 3.5"
"age.cat>=65",4.6,"0.00e+00","3.3 to 6.4"
"gendermale",1,"8.17e-01","0.8 to 1.4"
"nonsense",1.2,"9.42e-11","1.1 to 1.2"
"age.cat>=65",4.3,"0.00e+00","3.1 to 6"
"gendermale",1,"8.92e-01","0.7 to 1.3"
"frameshift",1,"2.16e-02","1 to 1.1"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.3"
"gendermale",1,"9.84e-01","0.7 to 1.4"
"total",1,"2.42e-10","1 to 1"
"age.cat>=65",4,"1.11e-16","2.9 to 5.6"
"gendermale",1,"9.64e-01","0.7 to 1.4"
"GZMA",1.1,"4.50e-09","1 to 1.1"
"age.cat>=65",4.2,"0.00e+00","3 to 5.8"
"gendermale",1,"9.63e-01","0.7 to 1.3"
"PRF1",1.1,"9.03e-07","1 to 1.1"
"age.cat>=65",3.9,"3.13e-14","2.7 to 5.5"
"gendermale",1.1,"7.42e-01","0.8 to 1.4"
"cyt",1.2,"4.64e-12","1.1 to 1.2"
"age.cat>=65",3.6,"1.08e-13","2.6 to 5.1"
"gendermale",1,"9.99e-01","0.7 to 1.3"
"nmdptc_max",1,"3.21e-01","1 to 1"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.2"
"gendermale",1,"9.01e-01","0.8 to 1.4"
"nmdptc_n_decayed",1,"1.31e-01","1 to 1"
"age.cat>=65",4.4,"0.00e+00","3.2 to 6.2"
"gendermale",1,"9.38e-01","0.8 to 1.4"
"nmdptc_frac_decayed",0.8,"2.41e-01","0.5 to 1.2"
"age.cat>=65",4.4,"0.00e+00","3.2 to 6.1"
"gendermale",1,"8.21e-01","0.8 to 1.4"
"nmdptc_med",1,"5.47e-01","0.9 to 1.1"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.3"
"gendermale",1,"8.84e-01","0.8 to 1.4"
"nmdptc_med.wt",1,"6.18e-01","0.9 to 1.1"
"age.cat>=65",4.5,"0.00e+00","3.2 to 6.3"
"gendermale",1,"8.89e-01","0.8 to 1.4"
"nmdptc_mean",1,"4.51e-01","0.9 to 1.1"
