"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"silent.cat=high",1267,480,6,"5.4 to 7.8","0.95 (0.94 to 0.96)","0.87 (0.86 to 0.89)","0.75 (0.72 to 0.78)","0.56 (0.52 to 0.59)"
"silent.cat=low",1450,231,10.8,"9.5 to 13.6","0.99 (0.98 to 0.99)","0.98 (0.97 to 0.98)","0.94 (0.93 to 0.96)","0.78 (0.74 to 0.81)"
"silent.cat=med",2364,719,7,"6.3 to 8","0.95 (0.94 to 0.96)","0.89 (0.88 to 0.91)","0.79 (0.77 to 0.81)","0.59 (0.56 to 0.62)"
"missense.cat=high",1263,481,6,"5.3 to 7.8","0.95 (0.93 to 0.96)","0.87 (0.85 to 0.89)","0.75 (0.72 to 0.77)","0.55 (0.52 to 0.59)"
"missense.cat=low",1346,199,10.8,"9.6 to NA","0.99 (0.98 to 0.99)","0.98 (0.97 to 0.99)","0.95 (0.93 to 0.96)","0.79 (0.76 to 0.83)"
"missense.cat=med",2472,750,7,"6.3 to 7.7","0.96 (0.95 to 0.96)","0.90 (0.89 to 0.91)","0.80 (0.78 to 0.81)","0.59 (0.56 to 0.62)"
"nonsense.cat=high",1366,487,6.9,"5.6 to 8","0.95 (0.94 to 0.96)","0.88 (0.86 to 0.89)","0.76 (0.74 to 0.79)","0.58 (0.55 to 0.61)"
"nonsense.cat=low",1614,304,10.9,"9.8 to NA","0.98 (0.97 to 0.99)","0.96 (0.95 to 0.97)","0.91 (0.9 to 0.93)","0.73 (0.7 to 0.76)"
"nonsense.cat=med",2101,639,7,"6.3 to 8","0.95 (0.95 to 0.96)","0.90 (0.88 to 0.91)","0.79 (0.78 to 0.81)","0.59 (0.56 to 0.62)"
"frameshift.cat=high",1398,425,8,"7 to 10.6","0.96 (0.95 to 0.97)","0.89 (0.88 to 0.91)","0.79 (0.77 to 0.81)","0.61 (0.58 to 0.65)"
"frameshift.cat=low",1708,418,9.4,"8.1 to 11","0.97 (0.96 to 0.98)","0.93 (0.92 to 0.94)","0.86 (0.84 to 0.88)","0.66 (0.63 to 0.69)"
"frameshift.cat=med",1975,587,7.3,"6.5 to 8.7","0.96 (0.95 to 0.97)","0.91 (0.9 to 0.92)","0.82 (0.8 to 0.83)","0.62 (0.59 to 0.65)"
"total.cat=high",1268,477,6,"5.3 to 7.8","0.95 (0.94 to 0.96)","0.87 (0.85 to 0.89)","0.75 (0.73 to 0.78)","0.55 (0.52 to 0.59)"
"total.cat=low",1275,179,10.9,"9.5 to NA","0.99 (0.98 to 1)","0.98 (0.97 to 0.99)","0.95 (0.94 to 0.96)","0.80 (0.76 to 0.83)"
"total.cat=med",2538,774,7,"6.3 to 7.7","0.95 (0.95 to 0.96)","0.90 (0.88 to 0.91)","0.80 (0.78 to 0.81)","0.59 (0.57 to 0.62)"
"GZMA.cat=high",1269,376,9.5,"8.1 to 12.7","0.96 (0.95 to 0.97)","0.90 (0.89 to 0.92)","0.83 (0.8 to 0.85)","0.65 (0.61 to 0.68)"
"GZMA.cat=low",1272,385,6.9,"5.9 to 7.5","0.96 (0.95 to 0.97)","0.91 (0.89 to 0.93)","0.81 (0.78 to 0.83)","0.59 (0.56 to 0.64)"
"GZMA.cat=med",2540,669,9.1,"7.6 to 10.7","0.96 (0.95 to 0.97)","0.92 (0.9 to 0.93)","0.83 (0.82 to 0.85)","0.64 (0.62 to 0.67)"
"PRF1.cat=high",1262,413,8.6,"6.6 to 10.8","0.95 (0.94 to 0.97)","0.89 (0.87 to 0.91)","0.80 (0.78 to 0.83)","0.61 (0.58 to 0.65)"
"PRF1.cat=low",1274,347,7.6,"6.7 to 9.5","0.97 (0.96 to 0.98)","0.93 (0.92 to 0.95)","0.84 (0.82 to 0.86)","0.62 (0.58 to 0.66)"
"PRF1.cat=med",2545,670,8.2,"7.5 to 10.6","0.96 (0.95 to 0.97)","0.91 (0.9 to 0.92)","0.83 (0.81 to 0.84)","0.65 (0.63 to 0.68)"
"cyt.cat=high",1265,393,8.7,"8 to 12.3","0.96 (0.95 to 0.97)","0.90 (0.89 to 0.92)","0.82 (0.79 to 0.84)","0.63 (0.6 to 0.67)"
"cyt.cat=low",1273,361,7.4,"6.4 to 9.5","0.96 (0.95 to 0.98)","0.92 (0.91 to 0.94)","0.83 (0.81 to 0.85)","0.62 (0.58 to 0.66)"
"cyt.cat=med",2543,676,8.1,"7.4 to 10.6","0.96 (0.95 to 0.97)","0.91 (0.9 to 0.92)","0.83 (0.81 to 0.84)","0.64 (0.62 to 0.67)"
