"var","hr","pval","hr_ci95"
"NCOR1_cna",0.5,"3.31e-02","0.3 to 0.9"
"NCOR1_mut",0,"9.97e-01","0 to Inf"
"NF1_cna",0.7,"2.43e-01","0.4 to 1.3"
"NF1_mut",0,"9.96e-01","0 to Inf"
"ALPK2_cna",1.2,"6.40e-01","0.6 to 2.2"
"ALPK2_mut",0,"9.96e-01","0 to Inf"
"LPAR2_cna",1.4,"2.85e-01","0.8 to 2.6"
"TGFB1_cna",0.7,"3.92e-01","0.3 to 1.6"
"CIC_cna",0.5,"8.04e-02","0.2 to 1.1"
"CIC_mut",0,"9.98e-01","0 to Inf"
"CSNK2A1_cna",1.3,"4.94e-01","0.6 to 2.8"
"ASXL1_cna",1.5,"7.55e-02","1 to 2.5"
"ASXL1_mut",0,"9.97e-01","0 to Inf"
"IFNGR2_cna",1.2,"7.48e-01","0.5 to 2.9"
"EP300_cna",1.3,"3.90e-01","0.7 to 2.5"
"EP300_mut",0,"9.98e-01","0 to Inf"
"DDX3X_cna",0.9,"7.46e-01","0.5 to 1.8"
"DDX3X_mut",0,"9.97e-01","0 to Inf"
"SSX5_cna",1.2,"6.54e-01","0.6 to 2.2"
"SSX5_mut",0,"9.97e-01","0 to Inf"
"FOXP3_cna",1.1,"8.66e-01","0.6 to 2"
"FOXP3_mut",0,"9.97e-01","0 to Inf"
"SMC1A_cna",1,"9.35e-01","0.5 to 2.1"
"SMC1A_mut",0,"9.97e-01","0 to Inf"
"MORC4_cna",1.1,"7.41e-01","0.5 to 2.4"
"MORC4_mut",0,"9.97e-01","0 to Inf"
"CUL4B_cna",0.8,"5.80e-01","0.4 to 1.7"
"CUL4B_mut",0,"9.97e-01","0 to Inf"
"TMB",0.9,"2.00e-01","0.9 to 1"
"PDL1",1,"4.83e-01","1 to 1"
"silent.catmed",0.8,"6.54e-01","0.4 to 1.8"
"silent.cathigh",0.3,"6.94e-02","0.1 to 1.1"
"missense.catmed",1.2,"6.59e-01","0.6 to 2.6"
"missense.cathigh",0.3,"6.40e-02","0.1 to 1.1"
"nonsense.catmed",0.7,"3.32e-01","0.3 to 1.5"
"nonsense.cathigh",0.4,"7.26e-02","0.1 to 1.1"
"frameshift.catmed",0.8,"5.55e-01","0.4 to 1.7"
"frameshift.cathigh",0.4,"9.65e-02","0.2 to 1.2"
"total.catmed",1.1,"8.10e-01","0.5 to 2.4"
"total.cathigh",0.3,"5.30e-02","0.1 to 1"
"GZMA.catmed",0.7,"4.04e-01","0.3 to 1.5"
"GZMA.cathigh",0.2,"1.34e-02","0.1 to 0.7"
"PRF1.catmed",0.6,"1.70e-01","0.3 to 1.3"
"PRF1.cathigh",0.7,"3.95e-01","0.3 to 1.7"
"nmdptc_max.catmed",0.9,"8.76e-01","0.4 to 2.3"
"nmdptc_max.cathigh",1.6,"3.29e-01","0.6 to 4.1"
"nmdptc_n_decayed.catmed",1.2,"6.08e-01","0.5 to 2.8"
"nmdptc_n_decayed.cathigh",1.2,"7.53e-01","0.5 to 2.8"
"nmdptc_frac_decayed.catmed",1.4,"5.35e-01","0.5 to 4"
"nmdptc_frac_decayed.cathigh",2.9,"4.26e-02","1 to 7.9"
"nmdptc_med.catmed",1.2,"7.33e-01","0.5 to 3.1"
"nmdptc_med.cathigh",1.8,"2.54e-01","0.7 to 4.7"
"nmdptc_med.wt.catmed",0.8,"5.59e-01","0.3 to 2"
"nmdptc_med.wt.cathigh",2.1,"1.11e-01","0.8 to 5.2"
"nmdptc_mean.catmed",1.2,"6.88e-01","0.4 to 3.5"
"nmdptc_mean.cathigh",2.7,"5.34e-02","1 to 7.5"
"nmdptc_mean.wt.catmed",1.3,"5.76e-01","0.5 to 3.8"
"nmdptc_mean.wt.cathigh",3.3,"2.00e-02","1.2 to 9.2"
"nmdfs_max.catmed",1.2,"7.31e-01","0.4 to 3.1"
"nmdfs_max.cathigh",1.9,"1.86e-01","0.7 to 5.1"
