"var","hr","pval","hr_ci95"
"age.cat>=65",1.7,"4.29e-03","1.2 to 2.4"
"gendermale",1.2,"2.56e-01","0.9 to 1.7"
"tnm_stageI",0.8,"6.36e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.3,"1.74e-01","0.1 to 1.6"
"tnm_stageII",1,"9.78e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.18e-01","0.5 to 3.9"
"tnm_stageIV",2.2,"1.92e-01","0.7 to 7.6"
"total",1,"4.54e-02","1 to 1"
"age.cat>=65",1.7,"3.40e-03","1.2 to 2.4"
"gendermale",1.3,"1.47e-01","0.9 to 1.8"
"tnm_stageI",0.8,"6.36e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.84e-01","0.1 to 1.6"
"tnm_stageII",1.1,"8.99e-01","0.4 to 3"
"tnm_stageIII",1.4,"4.90e-01","0.5 to 4"
"tnm_stageIV",2.2,"1.94e-01","0.7 to 7.5"
"GZMA",1,"3.45e-03","1 to 1"
"age.cat>=65",1.7,"3.25e-03","1.2 to 2.4"
"gendermale",1.2,"3.97e-01","0.8 to 1.6"
"tnm_stageI",0.8,"7.55e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.4,"1.95e-01","0.1 to 1.7"
"tnm_stageII",1,"9.85e-01","0.3 to 2.8"
"tnm_stageIII",1.5,"4.48e-01","0.5 to 4.1"
"tnm_stageIV",2.8,"9.98e-02","0.8 to 9.5"
"PRF1",1,"1.96e-02","1 to 1"
"age.cat>=65",1.7,"4.12e-03","1.2 to 2.4"
"gendermale",1.2,"3.93e-01","0.8 to 1.6"
"tnm_stageI",0.8,"7.44e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.4,"1.99e-01","0.1 to 1.7"
"tnm_stageII",1,"9.75e-01","0.4 to 2.9"
"tnm_stageIII",1.5,"4.34e-01","0.5 to 4.2"
"tnm_stageIV",2.6,"1.25e-01","0.8 to 8.8"
"cyt",1,"5.58e-03","1 to 1"
"age.cat>=65",1.7,"3.48e-03","1.2 to 2.4"
"gendermale",1.2,"4.01e-01","0.8 to 1.6"
"tnm_stageI",0.9,"7.63e-01","0.3 to 2.4"
"tnm_stageI/II NOS",0.4,"1.98e-01","0.1 to 1.7"
"tnm_stageII",1,"9.98e-01","0.4 to 2.8"
"tnm_stageIII",1.5,"4.34e-01","0.5 to 4.2"
"tnm_stageIV",2.7,"1.08e-01","0.8 to 9.2"
"nmdptc_max",1,"8.54e-01","0.9 to 1.1"
"age.cat>=65",1.6,"6.21e-03","1.1 to 2.3"
"gendermale",1.2,"3.29e-01","0.8 to 1.7"
"tnm_stageI",0.8,"6.05e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.80e-01","0.1 to 1.6"
"tnm_stageII",1,"9.85e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.33e-01","0.5 to 3.8"
"tnm_stageIV",2.3,"1.79e-01","0.7 to 7.8"
"nmdptc_n_decayed",1,"4.61e-02","1 to 1"
"age.cat>=65",1.6,"1.08e-02","1.1 to 2.2"
"gendermale",1.2,"2.98e-01","0.9 to 1.7"
"tnm_stageI",0.7,"5.20e-01","0.2 to 2"
"tnm_stageI/II NOS",0.4,"1.78e-01","0.1 to 1.6"
"tnm_stageII",1,"9.64e-01","0.4 to 2.9"
"tnm_stageIII",1.4,"5.48e-01","0.5 to 3.8"
"tnm_stageIV",2.1,"2.37e-01","0.6 to 7.1"
"nmdptc_frac_decayed",1.9,"5.67e-02","1 to 3.6"
"age.cat>=65",1.6,"5.33e-03","1.2 to 2.3"
"gendermale",1.2,"2.74e-01","0.9 to 1.7"
"tnm_stageI",0.6,"4.07e-01","0.2 to 1.8"
"tnm_stageI/II NOS",0.3,"1.19e-01","0.1 to 1.4"
