"var","hr","pval","hr_ci95"
"tnm_stageIV",2.8,"8.04e-02","0.9 to 8.9"
"nmdptc_n_decayed",1,"6.32e-01","1 to 1"
"age.cat>=65",1.6,"1.04e-02","1.1 to 2.3"
"gendermale",0.8,"2.15e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.57e-01","0.6 to 7"
"tnm_stageIV",2.9,"7.44e-02","0.9 to 9.1"
"nmdptc_frac_decayed",1.9,"4.90e-02","1 to 3.7"
"age.cat>=65",1.6,"1.30e-02","1.1 to 2.3"
"gendermale",0.8,"3.03e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.83e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.67e-01","0.6 to 6.9"
"tnm_stageIV",2.9,"7.17e-02","0.9 to 9.2"
"nmdptc_med",1.1,"3.59e-01","0.9 to 1.3"
"age.cat>=65",1.6,"9.30e-03","1.1 to 2.4"
"gendermale",0.8,"3.16e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.98e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.57e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.96e-02","0.9 to 8.9"
"nmdptc_med.wt",1,"7.92e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.13e-02","1.1 to 2.3"
"gendermale",0.8,"2.38e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.87e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.62e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.66e-02","0.9 to 9"
"nmdptc_mean",1.1,"2.09e-01","0.9 to 1.4"
"age.cat>=65",1.6,"1.02e-02","1.1 to 2.3"
"gendermale",0.8,"3.30e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.9,"7.47e-02","0.9 to 9"
"nmdptc_mean.wt",1,"8.48e-01","0.7 to 1.4"
"age.cat>=65",1.6,"1.11e-02","1.1 to 2.3"
"gendermale",0.8,"2.39e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.89e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.61e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.70e-02","0.9 to 9"
"nmdfs_max",1,"8.86e-01","0.9 to 1.1"
"age.cat>=65",1.6,"1.16e-02","1.1 to 2.3"
"gendermale",0.8,"2.56e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.88e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.71e-02","0.9 to 9"
"nmdfs_n_decayed",1,"3.96e-01","1 to 1"
"age.cat>=65",1.6,"8.31e-03","1.1 to 2.4"
"gendermale",0.8,"2.00e-01","0.5 to 1.1"
"tnm_stageII",1.6,"4.20e-01","0.5 to 5.6"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.82e-02","0.9 to 8.9"
"nmdfs_frac_decayed",1.4,"2.41e-01","0.8 to 2.3"
"age.cat>=65",1.6,"2.08e-02","1.1 to 2.3"
"gendermale",0.8,"3.27e-01","0.5 to 1.2"
"tnm_stageII",1.8,"3.48e-01","0.5 to 6"
"tnm_stageIII",2,"2.55e-01","0.6 to 7"
"tnm_stageIV",2.9,"6.86e-02","0.9 to 9.3"
"nmdfs_med",1,"8.92e-01","0.9 to 1.2"
"age.cat>=65",1.6,"1.16e-02","1.1 to 2.3"
"gendermale",0.8,"2.60e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.87e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.66e-02","0.9 to 9"
"nmdfs_med.wt",1,"9.14e-01","0.8 to 1.2"
"age.cat>=65",1.6,"1.05e-02","1.1 to 2.3"
"gendermale",0.8,"2.42e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.96e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.59e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.82e-02","0.9 to 9"
"nmdfs_mean",1,"7.78e-01","0.9 to 1.2"
"age.cat>=65",1.6,"1.22e-02","1.1 to 2.3"
"gendermale",0.8,"2.70e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.83e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.59e-02","0.9 to 9"
"nmdfs_mean.wt",1,"9.56e-01","0.8 to 1.2"
"age.cat>=65",1.6,"1.07e-02","1.1 to 2.3"
"gendermale",0.8,"2.46e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.94e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.58e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.78e-02","0.9 to 9"
"nmdns_max",1,"3.92e-01","0.9 to 1.1"
"age.cat>=65",1.6,"9.31e-03","1.1 to 2.4"
"gendermale",0.8,"2.85e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.93e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.60e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"8.11e-02","0.9 to 8.9"
"nmdns_n_decayed",1,"7.52e-01","1 to 1"
"age.cat>=65",1.6,"1.06e-02","1.1 to 2.3"
"gendermale",0.8,"2.28e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.87e-01","0.5 to 5.8"
"tnm_stageIII",2,"2.55e-01","0.6 to 7"
"tnm_stageIV",2.8,"7.57e-02","0.9 to 9"
"nmdns_frac_decayed",1.7,"8.20e-02","0.9 to 2.9"
"age.cat>=65",1.6,"1.15e-02","1.1 to 2.3"
"gendermale",0.8,"2.37e-01","0.5 to 1.2"
"tnm_stageII",1.7,"3.92e-01","0.5 to 5.7"
"tnm_stageIII",2,"2.63e-01","0.6 to 6.9"
"tnm_stageIV",2.8,"7.72e-02","0.9 to 9"
"nmdns_med",1.1,"2.71e-01","0.9 to 1.3"
"age.cat>=65",1.6,"9.15e-03","1.1 to 2.4"
"gendermale",0.8,"2.75e-01","0.5 to 1.2"
"tnm_stageII",1.7,"4.01e-01","0.5 to 5.7"
