"var","hr","pval","hr_ci95"
"age.cat>=65",3.1,"1.11e-02","1.3 to 7.2"
"TMB.cathigh",0.7,"3.76e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"4.13e-01","0.3 to 1.6"
"PDL1.cathigh",0.6,"3.36e-01","0.2 to 1.6"
"nmdptc_med.wt",0.8,"3.56e-01","0.5 to 1.3"
"age.cat>=65",3,"1.25e-02","1.3 to 7"
"TMB.cathigh",0.7,"3.63e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"4.57e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"3.93e-01","0.3 to 1.7"
"nmdptc_mean",0.8,"1.80e-01","0.6 to 1.1"
"age.cat>=65",3.1,"9.36e-03","1.3 to 7.4"
"TMB.cathigh",0.7,"3.63e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"4.60e-01","0.3 to 1.7"
"PDL1.cathigh",0.6,"3.52e-01","0.2 to 1.7"
"nmdptc_mean.wt",0.8,"3.77e-01","0.5 to 1.3"
"age.cat>=65",3,"1.23e-02","1.3 to 7.1"
"TMB.cathigh",0.7,"3.68e-01","0.4 to 1.4"
"PDL1.catmed",0.7,"4.67e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"3.98e-01","0.3 to 1.7"
"nmdfs_max",1,"7.30e-01","1 to 1.1"
"age.cat>=65",3,"1.27e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.94e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.56e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.13e-01","0.3 to 1.9"
"nmdfs_n_decayed",1,"6.54e-01","1 to 1"
"age.cat>=65",3,"1.26e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.93e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.64e-01","0.4 to 1.9"
"PDL1.cathigh",0.7,"5.11e-01","0.3 to 1.9"
"nmdfs_frac_decayed",0.5,"8.58e-02","0.3 to 1.1"
"age.cat>=65",3,"1.23e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.55e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.77e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.20e-01","0.3 to 1.8"
"nmdfs_med",1,"9.01e-01","0.8 to 1.2"
"age.cat>=65",2.9,"1.33e-02","1.3 to 6.9"
"TMB.cathigh",0.8,"4.93e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.26e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.02e-01","0.3 to 1.9"
