"var","hr","pval","hr_ci95"
"age.cat>=65",2.5,"2.20e-02","1.1 to 5.3"
"SLC22A14_cna",0.9,"6.40e-01","0.6 to 1.4"
"age.cat>=65",2.5,"2.03e-02","1.2 to 5.4"
"PIK3CA_cna",0.8,"3.90e-01","0.5 to 1.3"
"age.cat>=65",2.4,"2.51e-02","1.1 to 5.2"
"CXCL9_cna",0.9,"6.52e-01","0.5 to 1.5"
"age.cat>=65",2.4,"2.41e-02","1.1 to 5.3"
"CXCL10_cna",0.9,"6.52e-01","0.5 to 1.5"
"age.cat>=65",2.4,"2.41e-02","1.1 to 5.3"
"CXCL11_cna",0.9,"6.52e-01","0.5 to 1.5"
"age.cat>=65",2.4,"2.41e-02","1.1 to 5.3"
"TET2_cna",0.8,"5.23e-01","0.5 to 1.5"
"age.cat>=65",2.5,"2.22e-02","1.1 to 5.3"
"TET2_mut",3.5,"1.59e-02","1.3 to 9.7"
"age.cat>=65",2.5,"1.86e-02","1.2 to 5.5"
"IL2_cna",1,"9.87e-01","0.6 to 1.7"
"age.cat>=65",2.5,"2.25e-02","1.1 to 5.3"
"IRF1_cna",0.6,"3.38e-02","0.4 to 1"
"age.cat>=65",3.1,"5.35e-03","1.4 to 7"
"HAVCR2_cna",0.6,"1.08e-01","0.4 to 1.1"
"age.cat>=65",2.9,"8.72e-03","1.3 to 6.5"
"TAP1_cna",1.5,"1.01e-01","0.9 to 2.4"
"age.cat>=65",2.8,"1.09e-02","1.3 to 6.1"
"TAP1_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",2.4,"2.53e-02","1.1 to 5.2"
"IFNGR1_cna",1.4,"8.32e-02","1 to 2.2"
"age.cat>=65",2.5,"2.26e-02","1.1 to 5.3"
"IFNGR1_mut",0.8,"5.74e-01","0.3 to 2"
"age.cat>=65",2.4,"2.60e-02","1.1 to 5.2"
"MUC17_cna",0.7,"1.01e-01","0.4 to 1.1"
"age.cat>=65",2.7,"1.33e-02","1.2 to 5.8"
"MUC17_mut",1.1,"6.82e-01","0.6 to 2"
"age.cat>=65",2.5,"2.07e-02","1.1 to 5.4"
"MET_cna",0.8,"2.93e-01","0.5 to 1.2"
"age.cat>=65",2.4,"2.91e-02","1.1 to 5.2"
"IDO1_cna",1,"9.40e-01","0.6 to 1.7"
"age.cat>=65",2.5,"2.36e-02","1.1 to 5.4"
"IDO1_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",2.5,"2.22e-02","1.1 to 5.3"
"JAK2_cna",0.7,"1.07e-01","0.4 to 1.1"
"age.cat>=65",2.7,"1.42e-02","1.2 to 5.8"
"JAK2_mut",0.8,"5.69e-01","0.3 to 2"
"age.cat>=65",2.6,"1.65e-02","1.2 to 5.9"
"CD274_cna",0.7,"7.03e-02","0.4 to 1"
"age.cat>=65",2.7,"1.38e-02","1.2 to 5.8"
"COL5A1_cna",0.7,"1.40e-01","0.4 to 1.1"
"age.cat>=65",2.6,"1.62e-02","1.2 to 5.6"
"ARID5B_cna",1.1,"7.75e-01","0.6 to 1.9"
"age.cat>=65",2.5,"2.09e-02","1.1 to 5.4"
"ARID5B_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",2.4,"2.29e-02","1.1 to 5.3"
"OVOL1_cna",1,"8.68e-01","0.5 to 1.7"
"age.cat>=65",2.4,"2.71e-02","1.1 to 5.3"
"LAG3_cna",0.9,"6.15e-01","0.5 to 1.5"
"age.cat>=65",2.5,"2.17e-02","1.1 to 5.3"
"ARID2_cna",0.8,"6.13e-01","0.4 to 1.7"
"age.cat>=65",2.4,"2.36e-02","1.1 to 5.3"
"ARID2_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",2.5,"2.26e-02","1.1 to 5.3"
"IFNG_cna",0.6,"1.37e-01","0.3 to 1.2"
"age.cat>=65",2.4,"2.55e-02","1.1 to 5.2"
"TCP11L2_cna",0.7,"3.36e-01","0.4 to 1.4"
"age.cat>=65",2.5,"2.25e-02","1.1 to 5.3"
