"var","hr","pval","hr_ci95"
"NCOR1_mut",0.6,"2.96e-01","0.2 to 1.6"
"NF1_cna",1,"9.63e-01","0.8 to 1.3"
"NF1_mut",1.3,"3.79e-01","0.8 to 2.1"
"ALPK2_cna",0.8,"1.68e-01","0.6 to 1.1"
"ALPK2_mut",1,"9.87e-01","0.4 to 2.7"
"LPAR2_cna",0.9,"5.25e-01","0.7 to 1.2"
"LPAR2_mut",2.3,"1.03e-01","0.8 to 6.2"
"TGFB1_cna",1,"9.02e-01","0.8 to 1.3"
"CIC_cna",1,"9.96e-01","0.8 to 1.3"
"CSNK2A1_cna",0.9,"7.28e-01","0.7 to 1.3"
"ASXL1_cna",1.1,"4.66e-01","0.8 to 1.5"
"ASXL1_mut",0,"9.95e-01","0 to Inf"
"IFNGR2_cna",1,"9.57e-01","0.7 to 1.3"
"EP300_cna",0.8,"9.78e-02","0.6 to 1"
"EP300_mut",0,"9.95e-01","0 to Inf"
"DDX3X_cna",0.8,"1.75e-01","0.6 to 1.1"
"SSX5_cna",0.7,"3.52e-02","0.5 to 1"
"FOXP3_cna",0.7,"2.25e-02","0.5 to 0.9"
"SMC1A_cna",0.8,"8.54e-02","0.6 to 1"
"MORC4_cna",0.9,"6.71e-01","0.7 to 1.3"
"MORC4_mut",0,"9.95e-01","0 to Inf"
"CUL4B_cna",0.9,"5.78e-01","0.7 to 1.3"
"CUL4B_mut",0,"9.96e-01","0 to Inf"
"TMB",1,"1.09e-01","0.9 to 1"
"PDL1",1,"7.40e-01","1 to 1"
"silent.catmed",0.5,"7.10e-03","0.3 to 0.8"
"silent.cathigh",0.6,"4.59e-02","0.3 to 1"
"missense.catmed",0.8,"5.16e-01","0.5 to 1.4"
"missense.cathigh",0.6,"1.44e-01","0.4 to 1.2"
"nonstop.catmed",NA," NA","NA to NA"
"nonstop.cathigh",0.9,"6.65e-01","0.5 to 1.5"
"nonsense.catmed",0.7,"1.43e-01","0.4 to 1.1"
"nonsense.cathigh",0.7,"2.68e-01","0.4 to 1.3"
"frameshift.catmed",0.8,"3.74e-01","0.5 to 1.3"
"frameshift.cathigh",1,"9.11e-01","0.6 to 1.8"
"total.catmed",0.6,"8.04e-02","0.4 to 1.1"
"total.cathigh",0.6,"1.09e-01","0.4 to 1.1"
"GZMA.catmed",1.1,"6.75e-01","0.7 to 1.9"
"GZMA.cathigh",0.6,"1.29e-01","0.3 to 1.2"
