"var","hr","pval","hr_ci95"
"cyt.catmed",0.9,"6.59e-01","0.6 to 1.4"
"cyt.cathigh",0.8,"3.30e-01","0.4 to 1.3"
"age.cat>=65",2.6,"1.90e-07","1.8 to 3.7"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"5.15e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.15e-05","2.1 to 6.9"
"tnm_stageIV",13,"1.09e-10","6 to 28.3"
"tnm_stageX",6,"3.17e-04","2.3 to 16"
"TMB.cathigh",1,"9.21e-01","0.7 to 1.4"
"PDL1.catmed",0.9,"5.51e-01","0.6 to 1.3"
"PDL1.cathigh",1.2,"4.46e-01","0.7 to 2.1"
"cyt.bool1",0.7,"3.53e-01","0.4 to 1.4"
"age.cat>=65",1.9,"7.55e-03","1.2 to 3.1"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",2,"7.34e-02","0.9 to 4.1"
"tnm_stageIII",4.3,"2.72e-04","2 to 9.6"
"tnm_stageIV",7.3,"5.02e-04","2.4 to 22.4"
"tnm_stageX",4.9,"1.12e-02","1.4 to 16.9"
"TMB.cathigh",0.9,"6.93e-01","0.6 to 1.4"
"PDL1.catmed",0.6,"1.47e-01","0.3 to 1.2"
"PDL1.cathigh",1.1,"8.14e-01","0.5 to 2.3"
"TMB.cathigh",1,"9.55e-01","0.7 to 1.4"
"age.cat>=65",2.6,"1.43e-07","1.8 to 3.6"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"4.91e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.79e-06","2.1 to 7"
"tnm_stageIV",13.3,"6.17e-11","6.1 to 28.8"
"tnm_stageX",6.2,"2.24e-04","2.4 to 16.3"
"PDL1.catmed",0.8,"3.77e-01","0.6 to 1.2"
"PDL1.cathigh",1.1,"7.52e-01","0.7 to 1.7"
"PDL1.cat0positive",0,"3.62e-06","0 to 0.1"
"age.cat>=65",2.7,"5.81e-08","1.9 to 3.8"
"gendermale",0,"9.95e-01","0 to Inf"
"tnm_stageII",1.7,"5.53e-02","1 to 3.1"
"tnm_stageIII",3.8,"1.02e-05","2.1 to 6.9"
"tnm_stageIV",13.6,"4.32e-11","6.3 to 29.5"
"tnm_stageX",6.3,"2.06e-04","2.4 to 16.6"
"TMB.cathigh",1,"9.32e-01","0.7 to 1.4"
"PDL1.catmed",0.9,"5.52e-01","0.6 to 1.3"
"PDL1.cathigh",1.1,"5.74e-01","0.7 to 1.8"
"PDL1.catmed",0.8,"3.77e-01","0.6 to 1.2"
"PDL1.cathigh",1.1,"7.52e-01","0.7 to 1.7"
"age.cat>=65",2.6,"1.43e-07","1.8 to 3.6"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"4.91e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.79e-06","2.1 to 7"
"tnm_stageIV",13.3,"6.17e-11","6.1 to 28.8"
"tnm_stageX",6.2,"2.24e-04","2.4 to 16.3"
"TMB.cathigh",1,"9.55e-01","0.7 to 1.4"
"nmdptc_mut.bool1",0.8,"4.09e-01","0.5 to 1.3"
"age.cat>=65",2.6,"1.45e-07","1.8 to 3.6"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.7,"5.80e-02","1 to 3.1"
"tnm_stageIII",3.8,"9.77e-06","2.1 to 6.9"
"tnm_stageIV",13.4,"5.27e-11","6.2 to 29.1"
"tnm_stageX",6.3,"2.00e-04","2.4 to 16.6"
"TMB.cathigh",1,"8.94e-01","0.7 to 1.4"
"PDL1.catmed",0.8,"3.64e-01","0.6 to 1.2"
"PDL1.cathigh",1.1,"7.94e-01","0.7 to 1.7"
"nmdfs_mut.bool1",0.9,"6.92e-01","0.6 to 1.4"
"age.cat>=65",2.6,"1.32e-07","1.8 to 3.7"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"4.91e-02","1 to 3.1"
"tnm_stageIII",3.9,"8.14e-06","2.1 to 7"
"tnm_stageIV",13.6,"6.76e-11","6.2 to 29.7"
"tnm_stageX",6.3,"2.10e-04","2.4 to 16.5"
"TMB.cathigh",1,"9.35e-01","0.7 to 1.4"
"PDL1.catmed",0.8,"3.84e-01","0.6 to 1.3"
"PDL1.cathigh",1.1,"7.70e-01","0.7 to 1.7"
"nmdns_mut.bool1",0.9,"6.64e-01","0.6 to 1.3"
"age.cat>=65",2.6,"1.37e-07","1.8 to 3.6"
"gendermale",0,"9.92e-01","0 to Inf"
"tnm_stageII",1.8,"5.00e-02","1 to 3.1"
