"var","hr","pval","hr_ci95"
"NF1_cna",1.1,"6.21e-01","0.8 to 1.5"
"NF1_mut",1,"8.25e-01","0.7 to 1.5"
"ALPK2_cna",1,"8.25e-01","0.7 to 1.3"
"ALPK2_mut",0,"9.95e-01","0 to Inf"
"LPAR2_cna",0.8,"1.44e-01","0.6 to 1.1"
"TGFB1_cna",1.1,"4.48e-01","0.8 to 1.6"
"TGFB1_mut",0,"9.96e-01","0 to Inf"
"CIC_cna",1.2,"3.31e-01","0.9 to 1.6"
"CIC_mut",1.2,"6.60e-01","0.5 to 3.4"
"CSNK2A1_cna",0.9,"6.95e-01","0.7 to 1.2"
"ASXL1_cna",1,"9.94e-01","0.7 to 1.4"
"IFNGR2_cna",1.1,"5.40e-01","0.8 to 1.4"
"EP300_cna",1.5,"5.03e-03","1.1 to 2.1"
"EP300_mut",4.9,"1.15e-01","0.7 to 36.1"
"DDX3X_cna",1.1,"5.45e-01","0.8 to 1.7"
"DDX3X_mut",0,"9.96e-01","0 to Inf"
"SSX5_cna",1.1,"7.38e-01","0.7 to 1.6"
"FOXP3_cna",1.2,"3.31e-01","0.8 to 1.8"
"SMC1A_cna",1.2,"3.49e-01","0.8 to 1.8"
"MORC4_cna",0.9,"5.51e-01","0.6 to 1.3"
"CUL4B_cna",0.9,"4.45e-01","0.6 to 1.3"
"TMB",1,"6.75e-01","1 to 1"
"PDL1",1,"4.22e-01","1 to 1"
"silent.catmed",1.1,"5.94e-01","0.7 to 1.9"
"silent.cathigh",0.9,"7.91e-01","0.5 to 1.7"
"missense.catmed",1.2,"5.44e-01","0.7 to 1.9"
"missense.cathigh",1,"9.96e-01","0.5 to 1.8"
"nonsense.catmed",1,"9.81e-01","0.6 to 1.6"
"nonsense.cathigh",0.9,"6.51e-01","0.5 to 1.6"
"frameshift.catmed",1.5,"9.61e-02","0.9 to 2.4"
"frameshift.cathigh",0.8,"5.35e-01","0.5 to 1.5"
"total.catmed",1.1,"5.83e-01","0.7 to 1.9"
"total.cathigh",1,"9.63e-01","0.5 to 1.8"
"GZMA.catmed",0.5,"8.34e-03","0.3 to 0.9"
"GZMA.cathigh",0.5,"2.34e-02","0.3 to 0.9"
"PRF1.catmed",0.9,"7.26e-01","0.6 to 1.5"
"PRF1.cathigh",0.8,"4.95e-01","0.5 to 1.5"
"nmdptc_max.catmed",1.7,"5.50e-02","1 to 2.8"
"nmdptc_max.cathigh",1.3,"3.07e-01","0.8 to 2.4"
"nmdptc_n_decayed.catmed",1.1,"7.24e-01","0.7 to 1.8"
"nmdptc_n_decayed.cathigh",1.2,"5.07e-01","0.7 to 2"
"nmdptc_frac_decayed.catmed",1.4,"2.10e-01","0.8 to 2.3"
"nmdptc_frac_decayed.cathigh",1.5,"1.73e-01","0.8 to 2.6"
"nmdptc_med.catmed",0.9,"7.64e-01","0.6 to 1.5"
"nmdptc_med.cathigh",1.2,"5.52e-01","0.7 to 2.1"
"nmdptc_med.wt.catmed",1,"9.33e-01","0.6 to 1.7"
"nmdptc_med.wt.cathigh",1.4,"2.65e-01","0.8 to 2.4"
"nmdptc_mean.catmed",1.1,"7.42e-01","0.7 to 1.8"
"nmdptc_mean.cathigh",1.3,"3.54e-01","0.7 to 2.3"
"nmdptc_mean.wt.catmed",1.1,"7.50e-01","0.7 to 1.8"
"nmdptc_mean.wt.cathigh",1.1,"7.17e-01","0.6 to 2"
"nmdfs_max.catmed",1.3,"2.93e-01","0.8 to 2.2"
"nmdfs_max.cathigh",1.5,"2.02e-01","0.8 to 2.6"
"nmdfs_n_decayed.catmed",0.8,"3.19e-01","0.5 to 1.3"
"nmdfs_n_decayed.cathigh",1.4,"1.62e-01","0.9 to 2.3"
"nmdfs_frac_decayed.catmed",1,"8.89e-01","0.6 to 1.8"
"nmdfs_frac_decayed.cathigh",1.4,"2.58e-01","0.8 to 2.4"
"nmdfs_med.catmed",0.9,"8.07e-01","0.6 to 1.6"
"nmdfs_med.cathigh",1.5,"1.66e-01","0.8 to 2.6"
"nmdfs_med.wt.catmed",0.9,"5.38e-01","0.5 to 1.4"
"nmdfs_med.wt.cathigh",1.2,"5.60e-01","0.7 to 2.1"
"nmdfs_mean.catmed",1.2,"5.37e-01","0.7 to 2"
"nmdfs_mean.cathigh",1.6,"9.56e-02","0.9 to 2.9"
"nmdfs_mean.wt.catmed",0.8,"4.25e-01","0.5 to 1.3"
"nmdfs_mean.wt.cathigh",1.1,"6.85e-01","0.6 to 2"
"nmdns_max.catmed",1.4,"2.23e-01","0.8 to 2.3"
"nmdns_max.cathigh",1.2,"5.30e-01","0.7 to 2.2"
"nmdns_n_decayed.catmed",1,"9.28e-01","0.6 to 1.6"
"nmdns_n_decayed.cathigh",1,"9.68e-01","0.6 to 1.7"
"nmdns_frac_decayed.catmed",1.2,"4.34e-01","0.7 to 2"
"nmdns_frac_decayed.cathigh",1.2,"4.80e-01","0.7 to 2.1"
"nmdns_med.catmed",1.2,"3.96e-01","0.7 to 2.1"
"nmdns_med.cathigh",1.1,"6.84e-01","0.6 to 2"
"nmdns_med.wt.catmed",1,"9.44e-01","0.6 to 1.7"
"nmdns_med.wt.cathigh",1.1,"7.54e-01","0.6 to 1.9"
"nmdns_mean.catmed",1.6,"8.21e-02","0.9 to 2.8"
"nmdns_mean.cathigh",1.6,"1.38e-01","0.9 to 3"
"nmdns_mean.wt.catmed",1.4,"2.38e-01","0.8 to 2.3"
"nmdns_mean.wt.cathigh",1.2,"6.09e-01","0.7 to 2.1"
