"var","UCEC_rho","UCEC_rho_pval","UCEC_LH_meddelta","UCEC_LH_pval"
"ALPK2_mut",0.0311420541256666,0.630475387740729,0,1
"LPAR2_cna",-0.104203678667545,0.10660086748069,0,0.106722350475485
"TGFB1_cna",0.0585693046450615,0.36531163528424,0,0.0130968358596052
"CIC_cna",0.0644645765423775,0.318961983325891,0,0.0130968358596052
"CIC_mut",0.122110798954964,0.0583707425420514,0,0.242337162802688
"CSNK2A1_cna",-0.140808895230293,0.0288538968285343,0,0.145652648426355
"ASXL1_cna",-0.130048528313637,0.0436983259574644,0,0.226767213962855
"ASXL1_mut",0.0756289660930634,0.242142256301418,0,1
"IFNGR2_cna",0.00328413536772132,0.959549789211784,0,0.703303823651563
"EP300_cna",0.0695261359214783,0.282363231800938,0,0.0712715996152613
"EP300_mut",-0.0137378247454762,0.831974729122871,0,1
"DDX3X_cna",-0.0904138013720512,0.161762189530465,0,0.00428249264561141
"DDX3X_mut",0.0575258955359459,0.373930235865167,0,1
"SSX5_cna",-0.0364645756781101,0.573212445244246,0,0.000425676228153399
"SSX5_mut",0.130832746624947,0.042433737950585,0,0.47586123473648
"FOXP3_cna",-0.0537272840738297,0.40634928587481,0,0.000330300881133997
"FOXP3_mut",0.114259079098701,0.0766675191035189,0,0.361798928839963
"SMC1A_cna",-0.0678206607699394,0.294365183400841,0,0.00126575828068064
"SMC1A_mut",0.0955672115087509,0.139066448869186,0,1
"MORC4_cna",-0.0760210081934929,0.239702896808852,0,0.00162504101710725
"MORC4_mut",0.221566423773766,0.000530393522633732,0,0.0126247308118427
"CUL4B_cna",-0.0506401918828487,0.43388427810558,0,0.304677384093684
"CUL4B_mut",0.119744926691055,0.063459302425354,0,0.159010978500732
"msi",-0.146951034665108,0.0224991188407011,0,0.0279984255234324
"cyt.cat",0.920430958271027,0,NA,NA
"cyt.bool",0.866054475307465,0,NA,NA
