"var","hr","pval","hr_ci95"
"TP53_mut",1.2,"1.80e-02","1 to 1.4"
"TMEM88_cna",0.8,"1.56e-01","0.6 to 1.1"
"MYOCD_cna",0.8,"1.16e-01","0.6 to 1.1"
"MYOCD_mut",0,"9.95e-01","0 to Inf"
"NCOR1_cna",0.9,"3.95e-01","0.7 to 1.2"
"NCOR1_mut",138.5,"5.67e-05","12.6 to 1527.4"
"NF1_cna",1.1,"5.13e-01","0.8 to 1.5"
"NF1_mut",0,"9.94e-01","0 to Inf"
"ALPK2_cna",0.9,"2.57e-01","0.7 to 1.1"
"ALPK2_mut",1.7,"1.57e-01","0.8 to 3.3"
"LPAR2_cna",0.7,"3.12e-02","0.5 to 1"
"TGFB1_cna",0.7,"3.48e-02","0.5 to 1"
"CIC_cna",0.7,"4.54e-02","0.6 to 1"
"CIC_mut",6.3,"6.05e-04","2.2 to 17.8"
"CSNK2A1_cna",0.9,"5.59e-01","0.7 to 1.2"
"CSNK2A1_mut",1.3,"4.43e-01","0.7 to 2.2"
"ASXL1_cna",0.9,"7.00e-01","0.7 to 1.2"
"ASXL1_mut",1.3,"1.90e-01","0.9 to 2"
"IFNGR2_cna",0.9,"4.60e-01","0.7 to 1.2"
"IFNGR2_mut",0,"9.95e-01","0 to Inf"
"EP300_cna",1,"8.22e-01","0.7 to 1.3"
"EP300_mut",1.1,"8.08e-01","0.5 to 2.3"
"DDX3X_cna",0.7,"2.36e-02","0.6 to 1"
"DDX3X_mut",0,"9.94e-01","0 to Inf"
"SSX5_cna",0.7,"3.31e-03","0.5 to 0.9"
"FOXP3_cna",0.7,"1.23e-02","0.5 to 0.9"
"SMC1A_cna",0.8,"3.61e-02","0.6 to 1"
"MORC4_cna",1,"7.44e-01","0.7 to 1.3"
"MORC4_mut",2.6,"3.39e-02","1.1 to 6.3"
"CUL4B_cna",0.9,"5.85e-01","0.7 to 1.2"
"CUL4B_mut",1.7,"2.86e-01","0.6 to 4.6"
"TMB",1,"5.68e-01","0.9 to 1"
"PDL1",1,"9.58e-01","1 to 1"
"silent.catmed",1.9,"5.54e-03","1.2 to 3"
"silent.cathigh",1.5,"1.11e-01","0.9 to 2.6"
"missense.catmed",2,"4.83e-03","1.2 to 3.2"
"missense.cathigh",1.7,"4.29e-02","1 to 2.9"
"nonsense.catmed",1.6,"2.76e-02","1.1 to 2.5"
"nonsense.cathigh",1.4,"1.51e-01","0.9 to 2.3"
"frameshift.catmed",1.7,"8.74e-03","1.2 to 2.7"
"frameshift.cathigh",1.6,"3.83e-02","1 to 2.6"
"total.catmed",2.1,"2.19e-03","1.3 to 3.5"
"total.cathigh",2,"9.51e-03","1.2 to 3.5"
"GZMA.catmed",0.9,"4.43e-01","0.6 to 1.3"
"GZMA.cathigh",0.9,"6.59e-01","0.6 to 1.4"
"PRF1.catmed",0.8,"2.50e-01","0.5 to 1.2"
"PRF1.cathigh",0.7,"8.39e-02","0.4 to 1.1"
"nmdptc_max.catmed",1.5,"5.66e-02","1 to 2.4"
"nmdptc_max.cathigh",1.7,"3.14e-02","1 to 2.8"
"nmdptc_n_decayed.catmed",1.9,"4.68e-03","1.2 to 2.8"
"nmdptc_n_decayed.cathigh",1.8,"1.19e-02","1.1 to 2.7"
"nmdptc_frac_decayed.catmed",1.5,"7.14e-02","1 to 2.3"
"nmdptc_frac_decayed.cathigh",1.6,"4.24e-02","1 to 2.7"
"nmdptc_med.catmed",1.7,"2.92e-02","1.1 to 2.6"
"nmdptc_med.cathigh",1.8,"2.68e-02","1.1 to 2.9"
"nmdptc_med.wt.catmed",1.6,"3.72e-02","1 to 2.6"
"nmdptc_med.wt.cathigh",1.9,"1.14e-02","1.2 to 3.1"
"nmdptc_mean.catmed",1.6,"3.24e-02","1 to 2.6"
"nmdptc_mean.cathigh",1.5,"1.22e-01","0.9 to 2.5"
"nmdptc_mean.wt.catmed",1.5,"6.93e-02","1 to 2.3"
"nmdptc_mean.wt.cathigh",1.6,"7.21e-02","1 to 2.6"
"nmdfs_max.catmed",1.6,"3.74e-02","1 to 2.5"
"nmdfs_max.cathigh",1.6,"6.35e-02","1 to 2.6"
"nmdfs_n_decayed.catmed",1.4,"1.08e-01","0.9 to 2.1"
"nmdfs_n_decayed.cathigh",1.3,"1.97e-01","0.9 to 2"
"nmdfs_frac_decayed.catmed",1.8,"1.26e-02","1.1 to 2.8"
"nmdfs_frac_decayed.cathigh",1.4,"1.23e-01","0.9 to 2.3"
"nmdfs_med.catmed",1.7,"2.23e-02","1.1 to 2.5"
"nmdfs_med.cathigh",1.5,"1.17e-01","0.9 to 2.4"
"nmdfs_med.wt.catmed",1.8,"1.07e-02","1.1 to 2.7"
"nmdfs_med.wt.cathigh",1.5,"1.35e-01","0.9 to 2.4"
"nmdfs_mean.catmed",1.8,"9.45e-03","1.2 to 2.7"
"nmdfs_mean.cathigh",1.3,"2.95e-01","0.8 to 2.2"
"nmdfs_mean.wt.catmed",2,"2.30e-03","1.3 to 3.1"
"nmdfs_mean.wt.cathigh",1.5,"1.21e-01","0.9 to 2.5"
"nmdns_max.catmed",2.1,"2.50e-03","1.3 to 3.3"
"nmdns_max.cathigh",2,"1.09e-02","1.2 to 3.3"
"nmdns_n_decayed.catmed",1.4,"7.70e-02","1 to 2.2"
"nmdns_n_decayed.cathigh",1.4,"1.31e-01","0.9 to 2.3"
"nmdns_frac_decayed.catmed",1.6,"4.72e-02","1 to 2.5"
"nmdns_frac_decayed.cathigh",1.4,"1.52e-01","0.9 to 2.4"
"nmdns_med.catmed",1.2,"3.94e-01","0.8 to 1.9"
"nmdns_med.cathigh",1.5,"1.20e-01","0.9 to 2.4"
"nmdns_med.wt.catmed",1.2,"4.28e-01","0.8 to 1.8"
"nmdns_med.wt.cathigh",1.3,"2.83e-01","0.8 to 2.1"
"nmdns_mean.catmed",1.2,"3.57e-01","0.8 to 1.9"
"nmdns_mean.cathigh",1.4,"1.48e-01","0.9 to 2.3"
"nmdns_mean.wt.catmed",1.2,"4.13e-01","0.8 to 1.8"
"nmdns_mean.wt.cathigh",1.3,"2.71e-01","0.8 to 2.1"
