"","cancertype","nmdmetric","diff","diff.pval","jt.pval","diff.qval","jt.qval"
"1","BLCA","nmdptc_frac_decayed",-0.0395906230238124,0.552532731671804,0.627134494527956,0.744882640755229,0.903253596568136
"2","BLCA","nmdptc_med",-0.144357793723601,0.677301015861594,0.476890527579671,0.823744478750588,0.794817545966119
"3","BLCA","nmdptc_med.wt",0.291871140671029,0.489224452825319,0.973803639625914,0.693616324974052,1
"4","BLCA","nmdptc_mean",0.150124447946113,0.665679934481871,0.860696937305588,0.822955962958357,0.973884868919506
"5","BLCA","nmdptc_mean.wt",0.296261114057611,0.425569134519369,0.36913282964864,0.642076976696979,0.6921240555912
"6","BLCA","nmdfs_frac_decayed",0.1249387366083,0.237300459302626,0.407616037636043,0.441261184653644,0.73962587474282
"7","BLCA","nmdfs_med",0.0527910208317309,0.189545410529341,0.590525503586864,0.377413428045147,0.898323935736117
"8","BLCA","nmdfs_med.wt",0.165321129211285,0.142628084906288,0.960862850771235,0.311566204892377,0.996286366007041
"9","BLCA","nmdfs_mean",0.468567365845585,0.0714326376535011,0.445093276956514,0.184739580138365,0.782390525900122
"10","BLCA","nmdfs_mean.wt",0.447917784805024,0.165516416819997,0.989833459214477,0.344825868374994,1
"11","BLCA","nmdns_frac_decayed",-0.112726436942591,0.211678893494333,0.304457829647983,0.403625008781567,0.611634032774965
"12","BLCA","nmdns_med",-0.332112260855142,0.152903983291321,0.469372506242538,0.321527067668665,0.789502480970615
"13","BLCA","nmdns_med.wt",-0.330700010566183,0.444849709079631,0.488658872290746,0.649942756772189,0.802541943543196
"14","BLCA","nmdns_mean",-0.097839649684854,0.412990215749103,0.95740683478871,0.642076976696979,0.996286366007041
"15","BLCA","nmdns_mean.wt",-0.081626015798665,1,0.936413649013625,1,0.99270536573737
"16","BRCA","nmdptc_frac_decayed",0.0669467896306132,0.125198644893852,0.944173103412432,0.281696951011166,0.99270536573737
"17","BRCA","nmdptc_med",0.0977087396356076,0.265454941258683,0.64346171504194,0.485588307180518,0.903253596568136
"18","BRCA","nmdptc_med.wt",0.145826318132083,0.226839591297388,0.403830986895285,0.425324233682602,0.73962587474282
"19","BRCA","nmdptc_mean",-0.00298206240651822,0.416597619925538,0.23680625944886,0.642076976696979,0.538196044201955
"20","BRCA","nmdptc_mean.wt",0.0950369293634084,0.0958041523037437,0.46969924714054,0.234303633351547,0.789502480970615
"21","BRCA","nmdfs_frac_decayed",0.209071697380162,0.00108201495767292,0.868126842438864,0.00811511218254689,0.973884868919506
"22","BRCA","nmdfs_med",0.41865667837761,0.172507813055422,0.519115063724695,0.356094109518072,0.846383256072873
"23","BRCA","nmdfs_med.wt",0.585665151750695,0.057302367473358,0.321999104599448,0.151393933319095,0.635524548551543
"24","BRCA","nmdfs_mean",0.289884568106889,0.0466901308991051,0.531778450757649,0.128113164052423,0.854797050130447
"25","BRCA","nmdfs_mean.wt",0.507338533662597,0.0057306213967855,0.730431067694754,0.0246645965048138,0.946219964266368
"26","BRCA","nmdns_frac_decayed",0.0484550065040282,0.0301072936620706,0.736259884071119,0.0940852926939705,0.946219964266368
"27","BRCA","nmdns_med",0.482563396535916,0.443526777647849,0.86324816151506,0.649942756772189,0.973884868919506
"28","BRCA","nmdns_med.wt",0.514790412399294,0.507522871667036,0.854985836040002,0.704892877315327,0.973884868919506
"29","BRCA","nmdns_mean",0.53917993574241,0.418257736404924,0.893926785110127,0.642076976696979,0.973884868919506
"30","BRCA","nmdns_mean.wt",0.439499772241208,0.345379562226756,0.895162451928756,0.564032675386592,0.973884868919506
"31","CESC","nmdptc_frac_decayed",0.0791812460476248,0.117045467710423,0.0494357556165428,0.271497218915929,0.190037915496442
"32","CESC","nmdptc_med",0.284504368770053,0.0231782944904782,0.338752349235544,0.0745016608622514,0.657062746362047
"33","CESC","nmdptc_med.wt",0.857783248581694,0.0103346740073,0.463426159333045,0.0394118924007203,0.789502480970615
"34","CESC","nmdptc_mean",0.561639186700333,0.0143289271160766,0.581920626519346,0.0502339717801307,0.896795486074334
"35","CESC","nmdptc_mean.wt",0.543925513944968,0.00340511916267734,0.0830993501154907,0.0190470471256093,0.263343010929372
"36","CESC","nmdfs_frac_decayed",0.27039516729452,0.00145897027137875,0.250719523511925,0.00994752457758237,0.547688279516341
"37","CESC","nmdfs_med",0.796696278769286,0.147413861603673,0.141824684739361,0.315886846293586,0.384464506823569
"38","CESC","nmdfs_med.wt",0.794540092235246,0.149106622121207,0.107701858617061,0.316499905445959,0.318854186695247
"39","CESC","nmdfs_mean",0.796696278769286,0.00896446512682426,0.0633254900475754,0.0353860465532537,0.226162464455627
"40","CESC","nmdfs_mean.wt",0.945602649442306,0.0116241006130912,0.0226753950795803,0.0421842360958955,0.118650323090827
"41","CESC","nmdns_frac_decayed",0.1249387366083,0.213749789154327,0.0205226983897023,0.40414876100608,0.115201968943721
"42","CESC","nmdns_med",0.40341119186973,0.00347079525399992,0.61507604168796,0.0190470471256093,0.903253596568136
"43","CESC","nmdns_med.wt",0.657960102169554,0.00849403673383469,0.604759662339474,0.0341278261627286,0.901131947194581
"44","CESC","nmdns_mean",0.414160147393731,0.0783907828973233,0.658092687629336,0.198178945526941,0.903253596568136
