"var","hr","pval","hr_ci95"
"ASXL1_cna",3.3,"3.99e-13","2.4 to 4.6"
"IFNGR2_cna",1.7,"6.62e-03","1.2 to 2.5"
"EP300_cna",0.7,"1.27e-03","0.5 to 0.9"
"DDX3X_cna",1,"8.49e-01","0.7 to 1.3"
"SSX5_cna",0.9,"6.78e-01","0.7 to 1.2"
"FOXP3_cna",0.9,"6.51e-01","0.7 to 1.2"
"SMC1A_cna",0.9,"4.94e-01","0.7 to 1.2"
"MORC4_cna",0.7,"1.13e-02","0.6 to 0.9"
"CUL4B_cna",0.7,"2.70e-02","0.6 to 1"
"TMB",1.4,"1.11e-16","1.3 to 1.5"
"PDL1",1,"1.96e-12","1 to 1"
"silent.catmed",3.6,"9.36e-08","2.2 to 5.7"
"silent.cathigh",10.1,"0.00e+00","6.1 to 16.5"
"missense.catmed",4.7,"2.01e-07","2.6 to 8.4"
"missense.cathigh",15.8,"0.00e+00","8.6 to 28.8"
"nonsense.catmed",2.1,"8.41e-04","1.4 to 3.3"
"nonsense.cathigh",4.6,"1.02e-11","3 to 7.2"
"frameshift.catmed",1.8,"2.05e-03","1.3 to 2.7"
"frameshift.cathigh",2.1,"4.02e-06","1.5 to 3"
"total.catmed",4.3,"1.50e-07","2.5 to 7.4"
"total.cathigh",14,"0.00e+00","7.9 to 24.7"
"GZMA.catmed",1.6,"1.72e-02","1.1 to 2.4"
"GZMA.cathigh",4,"2.09e-10","2.6 to 6"
"PRF1.catmed",2.4,"9.32e-05","1.6 to 3.8"
"PRF1.cathigh",6.7,"1.22e-15","4.2 to 10.7"
"nmdptc_max.catmed",1.3,"1.18e-01","0.9 to 1.9"
"nmdptc_max.cathigh",1.2,"5.12e-01","0.8 to 1.8"
"nmdptc_n_decayed.catmed",1.4,"8.24e-02","1 to 2"
"nmdptc_n_decayed.cathigh",1.4,"6.62e-02","1 to 1.9"
"nmdptc_frac_decayed.catmed",1.6,"1.28e-02","1.1 to 2.3"
"nmdptc_frac_decayed.cathigh",0.7,"3.51e-02","0.5 to 1"
"nmdptc_med.catmed",0.9,"5.08e-01","0.6 to 1.3"
"nmdptc_med.cathigh",0.9,"4.76e-01","0.6 to 1.3"
"nmdptc_med.wt.catmed",0.9,"6.35e-01","0.7 to 1.3"
"nmdptc_med.wt.cathigh",0.7,"4.70e-02","0.4 to 1"
"nmdptc_mean.catmed",0.9,"4.54e-01","0.6 to 1.2"
"nmdptc_mean.cathigh",0.8,"3.69e-01","0.6 to 1.2"
"nmdptc_mean.wt.catmed",0.8,"1.60e-01","0.6 to 1.1"
"nmdptc_mean.wt.cathigh",0.6,"9.02e-03","0.4 to 0.9"
"nmdfs_max.catmed",1.2,"3.73e-01","0.8 to 1.7"
"nmdfs_max.cathigh",0.7,"1.10e-01","0.5 to 1.1"
"nmdfs_n_decayed.catmed",1.2,"2.88e-01","0.8 to 1.7"
"nmdfs_n_decayed.cathigh",0.7,"3.20e-02","0.5 to 1"
"nmdfs_frac_decayed.catmed",1,"9.55e-01","0.6 to 1.7"
"nmdfs_frac_decayed.cathigh",0.7,"2.65e-02","0.5 to 1"
"nmdfs_med.catmed",1,"9.49e-01","0.7 to 1.4"
"nmdfs_med.cathigh",0.6,"3.10e-02","0.4 to 1"
"nmdfs_med.wt.catmed",1,"8.34e-01","0.7 to 1.5"
"nmdfs_med.wt.cathigh",0.7,"3.90e-02","0.4 to 1"
"nmdfs_mean.catmed",1.1,"6.21e-01","0.8 to 1.5"
"nmdfs_mean.cathigh",0.7,"5.41e-02","0.5 to 1"
"nmdfs_mean.wt.catmed",1.1,"5.30e-01","0.8 to 1.6"
"nmdfs_mean.wt.cathigh",0.7,"7.10e-02","0.5 to 1"
"nmdns_max.catmed",0.9,"6.83e-01","0.7 to 1.3"
"nmdns_max.cathigh",0.5,"2.47e-03","0.4 to 0.8"
"nmdns_n_decayed.catmed",1.1,"7.70e-01","0.7 to 1.5"
"nmdns_n_decayed.cathigh",0.6,"2.05e-03","0.4 to 0.8"
"nmdns_frac_decayed.catmed",1.4,"1.04e-01","0.9 to 2.2"
"nmdns_frac_decayed.cathigh",0.6,"1.05e-03","0.4 to 0.8"
"nmdns_med.catmed",0.8,"1.44e-01","0.6 to 1.1"
"nmdns_med.cathigh",0.5,"3.74e-04","0.4 to 0.7"
"nmdns_med.wt.catmed",0.8,"1.80e-01","0.6 to 1.1"
"nmdns_med.wt.cathigh",0.5,"4.90e-04","0.4 to 0.7"
"nmdns_mean.catmed",0.7,"6.72e-02","0.5 to 1"
"nmdns_mean.cathigh",0.5,"1.76e-04","0.3 to 0.7"
"nmdns_mean.wt.catmed",0.8,"1.38e-01","0.5 to 1.1"
"nmdns_mean.wt.cathigh",0.5,"4.01e-04","0.3 to 0.7"
