"var","hr","pval","hr_ci95"
"gendermale",0.6,"1.40e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.91e-01","0.6 to 13"
"tnm_stageIII",4.9,"4.16e-02","1.1 to 22.6"
"tnm_stageIV",12.5,"1.11e-03","2.7 to 57.3"
"TMB.cathigh",1.7,"1.17e-01","0.9 to 3.4"
"PDL1.catmed",0.8,"6.76e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.76e-01","0.2 to 1.4"
"frameshift",1,"2.86e-01","1 to 1"
"age.cat>=65",1.6,"2.44e-01","0.7 to 3.8"
"gendermale",0.6,"1.31e-01","0.3 to 1.2"
"tnm_stageII",2.5,"2.39e-01","0.5 to 11.8"
"tnm_stageIII",4.7,"4.33e-02","1 to 21.2"
"tnm_stageIV",12.1,"1.09e-03","2.7 to 53.8"
"TMB.cathigh",1.6,"1.78e-01","0.8 to 3.3"
"PDL1.catmed",0.8,"5.98e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.29e-01","0.2 to 1.3"
"total",1,"4.97e-01","1 to 1"
"age.cat>=65",1.7,"2.26e-01","0.7 to 4"
"gendermale",0.6,"1.44e-01","0.3 to 1.2"
"tnm_stageII",2.7,"2.04e-01","0.6 to 12.4"
"tnm_stageIII",4.8,"4.18e-02","1.1 to 21.8"
"tnm_stageIV",12.4,"1.05e-03","2.8 to 55.8"
"TMB.cathigh",1.7,"1.33e-01","0.9 to 3.4"
"PDL1.catmed",0.8,"6.77e-01","0.4 to 1.8"
"PDL1.cathigh",0.5,"1.74e-01","0.2 to 1.4"
"GZMA",1,"3.42e-01","1 to 1"
"age.cat>=65",1.6,"2.88e-01","0.7 to 3.7"
"gendermale",0.6,"1.44e-01","0.3 to 1.2"
"tnm_stageII",2.8,"1.93e-01","0.6 to 12.8"
"tnm_stageIII",4.6,"4.84e-02","1 to 20.6"
"tnm_stageIV",12.3,"1.01e-03","2.8 to 54.9"
"TMB.cathigh",1.7,"1.14e-01","0.9 to 3.4"
"PDL1.catmed",0.8,"6.23e-01","0.4 to 1.8"
"PDL1.cathigh",0.4,"1.20e-01","0.1 to 1.3"
