"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"frameshift",0.0281225380600272,0.117647058823529,0.0614180248453651,0.0392156862745098,0.0438698498630272,0.0196078431372549,17.1575845330699,0.0196078431372549
"nonsense",0.0119907932767582,0.352941176470588,0.0226757067975203,0.215686274509804,0.0168871039249017,0.0588235294117647,12.366468420656,0.117647058823529
"silent",0.0201119973759038,0.176470588235294,0.00502927952091234,0.450980392156863,0.0127260452773871,0.176470588235294,15.6153528831782,0.588235294117647
"total",0.0109184238545605,0.235294117647059,0.0135272961160797,0.215686274509804,0.0114756033718761,0.137254901960784,11.35108980682,0.96078431372549
"missense",0.00792149299317324,0.274509803921569,0.00466095132980116,0.490196078431373,0.00496820776392673,0.313725490196078,11.9117950499859,1
"nonstop",-0.00356840874177506,0.823529411764706,7.51028488115591e-05,0.352941176470588,-0.00175727795632273,0.647058823529412,1.09582359200418,0.941176470588235
