"var","hr","pval","hr_ci95"
"msiMSS",3.1,"1.58e-01","0.6 to 14.6"
"msiX",2.9,"1.76e-01","0.6 to 13.3"
"TMB.cathigh",0.9,"8.43e-01","0.4 to 2"
"PDL1.catmed",0.9,"8.23e-01","0.4 to 2.2"
"PDL1.cathigh",1.8,"2.13e-01","0.7 to 4.5"
"cyt.catmed",0.6,"1.36e-01","0.3 to 1.2"
"cyt.cathigh",0.3,"4.05e-02","0.1 to 1"
"TMB.cathigh",0.8,"5.23e-01","0.4 to 1.6"
"PDL1.catmed",1,"9.67e-01","0.4 to 2.5"
"PDL1.cathigh",2.4,"7.85e-02","0.9 to 6.3"
"cyt.bool1",0.4,"1.39e-01","0.1 to 1.3"
"TMB.cathigh",0.8,"6.67e-01","0.3 to 2.1"
"PDL1.catmed",1,"9.98e-01","0.3 to 3.1"
"PDL1.cathigh",1.3,"6.76e-01","0.4 to 4.6"
"TMB.cathigh",0.7,"3.63e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.50e-01","0.4 to 2.1"
"PDL1.cathigh",1.7,"2.55e-01","0.7 to 4.2"
"PDL1.cat0positive",11355635.9,"9.96e-01","0 to Inf"
"TMB.cathigh",0.7,"3.07e-01","0.3 to 1.4"
"PDL1.catmed",0.8,"5.84e-01","0.3 to 1.9"
"PDL1.cathigh",1.5,"3.60e-01","0.6 to 3.8"
"PDL1.catmed",0.9,"7.50e-01","0.4 to 2.1"
"PDL1.cathigh",1.7,"2.55e-01","0.7 to 4.2"
"TMB.cathigh",0.7,"3.63e-01","0.4 to 1.5"
"nmdptc_mut.bool1",0.2,"2.56e-03","0.1 to 0.6"
"TMB.cathigh",0.9,"6.68e-01","0.4 to 1.8"
"PDL1.catmed",0.8,"6.66e-01","0.3 to 2"
"PDL1.cathigh",1.6,"2.91e-01","0.7 to 4.1"
"nmdfs_mut.bool1",0.5,"7.87e-02","0.2 to 1.1"
"TMB.cathigh",0.8,"5.24e-01","0.4 to 1.6"
"PDL1.catmed",0.9,"7.55e-01","0.4 to 2.1"
"PDL1.cathigh",1.6,"2.83e-01","0.7 to 4.1"
"nmdns_mut.bool1",0.6,"3.12e-01","0.2 to 1.6"
"TMB.cathigh",0.8,"6.62e-01","0.4 to 1.8"
"PDL1.catmed",0.9,"7.66e-01","0.4 to 2.1"
"PDL1.cathigh",1.6,"3.00e-01","0.6 to 4.1"
"silent",1,"1.05e-01","1 to 1"
"TMB.cathigh",1.5,"3.62e-01","0.6 to 3.5"
"PDL1.catmed",0.9,"7.37e-01","0.4 to 2.1"
"PDL1.cathigh",2.1,"1.22e-01","0.8 to 5.2"
"missense",1,"1.35e-01","1 to 1"
"TMB.cathigh",1.5,"3.93e-01","0.6 to 3.5"
"PDL1.catmed",0.9,"7.43e-01","0.4 to 2.1"
"PDL1.cathigh",2.1,"1.25e-01","0.8 to 5.2"
"nonstop",0.6,"1.73e-01","0.3 to 1.2"
"TMB.cathigh",1,"8.99e-01","0.5 to 2"
"PDL1.catmed",0.8,"6.34e-01","0.3 to 2"
"PDL1.cathigh",1.8,"2.00e-01","0.7 to 4.5"
"nonsense",0.9,"8.08e-02","0.9 to 1"
"TMB.cathigh",1.7,"2.50e-01","0.7 to 4.1"
"PDL1.catmed",0.9,"7.98e-01","0.4 to 2.2"
"PDL1.cathigh",2.1,"1.10e-01","0.8 to 5.3"
"frameshift",1,"3.62e-01","1 to 1.1"
"TMB.cathigh",0.6,"2.35e-01","0.3 to 1.4"
"PDL1.catmed",0.8,"7.00e-01","0.3 to 2.1"
"PDL1.cathigh",1.6,"2.90e-01","0.7 to 4.1"
"total",1,"1.28e-01","1 to 1"
"TMB.cathigh",1.5,"3.85e-01","0.6 to 3.5"
"PDL1.catmed",0.9,"7.46e-01","0.4 to 2.1"
"PDL1.cathigh",2.1,"1.22e-01","0.8 to 5.2"
"GZMA",1,"4.92e-01","1 to 1"
"TMB.cathigh",0.8,"4.34e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.88e-01","0.4 to 2.2"
"PDL1.cathigh",1.8,"2.06e-01","0.7 to 4.6"
"PRF1",1,"7.72e-01","0.9 to 1"
"TMB.cathigh",0.7,"4.07e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.73e-01","0.4 to 2.1"
"PDL1.cathigh",1.8,"2.39e-01","0.7 to 4.6"
"cyt",1,"6.39e-01","1 to 1"
"TMB.cathigh",0.7,"4.22e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.84e-01","0.4 to 2.2"
"PDL1.cathigh",1.8,"2.18e-01","0.7 to 4.6"
"nmdptc_max",1.2,"1.02e-02","1 to 1.4"
"TMB.cathigh",0.5,"1.00e-01","0.3 to 1.1"
"PDL1.catmed",0.9,"8.03e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.37e-01","0.7 to 4.3"
"nmdptc_n_decayed",1,"8.60e-02","1 to 1"
"TMB.cathigh",0.7,"3.01e-01","0.3 to 1.4"
"PDL1.catmed",0.9,"7.84e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.73e-01","0.7 to 4.2"
"nmdptc_frac_decayed",5.1,"1.29e-02","1.4 to 18.3"
"TMB.cathigh",0.7,"3.85e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.99e-01","0.4 to 2.2"
"PDL1.cathigh",2.1,"1.09e-01","0.8 to 5.4"
"nmdptc_med",1.8,"6.01e-03","1.2 to 2.8"
"TMB.cathigh",0.8,"4.72e-01","0.4 to 1.6"
"PDL1.catmed",0.9,"8.57e-01","0.4 to 2.2"
"PDL1.cathigh",2,"1.49e-01","0.8 to 4.9"
"nmdptc_med.wt",2.4,"5.61e-04","1.5 to 4.1"
"TMB.cathigh",0.9,"8.66e-01","0.4 to 2"
"PDL1.catmed",0.8,"6.81e-01","0.3 to 2"
"PDL1.cathigh",1.6,"3.46e-01","0.6 to 3.9"
"nmdptc_mean",2.1,"1.01e-03","1.3 to 3.3"
"TMB.cathigh",0.8,"4.85e-01","0.4 to 1.6"
"PDL1.catmed",1,"9.26e-01","0.4 to 2.3"
"PDL1.cathigh",2.1,"1.19e-01","0.8 to 5.2"
"nmdptc_mean.wt",2.5,"5.75e-04","1.5 to 4.1"
"TMB.cathigh",0.9,"8.87e-01","0.4 to 2"
"PDL1.catmed",0.8,"7.00e-01","0.3 to 2"
"PDL1.cathigh",1.6,"3.34e-01","0.6 to 3.9"
"nmdfs_max",1.1,"3.98e-02","1 to 1.3"
"TMB.cathigh",0.7,"3.07e-01","0.3 to 1.4"
"PDL1.catmed",0.9,"8.19e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.51e-01","0.7 to 4.3"
"nmdfs_n_decayed",1,"3.89e-02","1 to 1"
"TMB.cathigh",0.7,"3.97e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.41e-01","0.4 to 2.1"
"PDL1.cathigh",1.6,"2.95e-01","0.7 to 4.1"
"nmdfs_frac_decayed",4.4,"1.77e-02","1.3 to 14.9"
"TMB.cathigh",0.8,"5.55e-01","0.4 to 1.7"
"PDL1.catmed",0.9,"8.65e-01","0.4 to 2.3"
"PDL1.cathigh",2,"1.40e-01","0.8 to 5"
"nmdfs_med",1.6,"4.56e-03","1.2 to 2.3"
"TMB.cathigh",0.8,"6.30e-01","0.4 to 1.7"
"PDL1.catmed",0.9,"8.33e-01","0.4 to 2.2"
"PDL1.cathigh",1.8,"2.29e-01","0.7 to 4.4"
"nmdfs_med.wt",1.7,"7.05e-03","1.2 to 2.6"
"TMB.cathigh",0.9,"6.87e-01","0.4 to 1.8"
"PDL1.catmed",0.9,"7.81e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.83e-01","0.7 to 4.1"
"nmdfs_mean",1.5,"1.08e-02","1.1 to 2.1"
"TMB.cathigh",0.8,"5.85e-01","0.4 to 1.7"
"PDL1.catmed",0.9,"8.52e-01","0.4 to 2.2"
"PDL1.cathigh",1.8,"2.17e-01","0.7 to 4.4"
"nmdfs_mean.wt",1.7,"9.69e-03","1.1 to 2.5"
"TMB.cathigh",0.9,"6.79e-01","0.4 to 1.8"
"PDL1.catmed",0.9,"7.86e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.80e-01","0.7 to 4.1"
"nmdns_max",1,"7.31e-01","0.9 to 1.1"
"TMB.cathigh",0.7,"3.64e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.64e-01","0.4 to 2.1"
"PDL1.cathigh",1.7,"2.68e-01","0.7 to 4.2"
"nmdns_n_decayed",1,"7.77e-01","1 to 1"
"TMB.cathigh",0.7,"4.12e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.62e-01","0.4 to 2.1"
"PDL1.cathigh",1.7,"2.70e-01","0.7 to 4.2"
"nmdns_frac_decayed",1.5,"4.13e-01","0.6 to 4.2"
"TMB.cathigh",0.7,"4.12e-01","0.4 to 1.5"
"PDL1.catmed",0.9,"7.82e-01","0.4 to 2.1"
"PDL1.cathigh",1.8,"2.25e-01","0.7 to 4.4"
"nmdns_med",1.2,"2.07e-01","0.9 to 1.5"
"TMB.cathigh",0.8,"6.07e-01","0.4 to 1.7"
"PDL1.catmed",0.9,"7.98e-01","0.4 to 2.2"
"PDL1.cathigh",1.7,"2.56e-01","0.7 to 4.2"
