"","low","low.pval","high","high.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"silent",0.0657032447264625,0.0980392156862745,0.0484893907028743,0.0588235294117647,0.0558767347855217,0.0196078431372549,14.8447296035001,0.0784313725490196
"total",0.0773153989181104,0.0196078431372549,0.0305035782026811,0.0784313725490196,0.0528958544232892,0.0196078431372549,15.1686737470336,0.0196078431372549
"nonsense",0.0179230183914364,0.333333333333333,0.0639420080067997,0.0196078431372549,0.040401410726481,0.0196078431372549,8.24138655308888,0.568627450980392
"missense",0.0138019343625818,0.294117647058824,0.0183382380124163,0.254901960784314,0.015825939194206,0.176470588235294,9.9449323835783,0.725490196078431
"nonstop",0.00272528621909292,0.235294117647059,-0.00322209446014611,0.705882352941177,-0.000311059705618772,0.352941176470588,0.819916294096782,0.882352941176471
"frameshift",-0.00960736229470513,0.607843137254902,-0.0038882311348143,0.470588235294118,-0.00683510094837985,0.607843137254902,4.44495401129502,1
