"var","hr","pval","hr_ci95"
"cyt.catmed",0.6,"5.88e-01","0.1 to 3.3"
"cyt.cathigh",0.4,"5.17e-01","0 to 5.5"
"age.cat>=65",2.7,"2.27e-01","0.5 to 14.1"
"TMB.cathigh",0.6,"5.71e-01","0.1 to 3"
"PDL1.catmed",0.5,"4.64e-01","0.1 to 2.8"
"PDL1.cathigh",0.6,"6.68e-01","0 to 7.4"
"cyt.bool1",0.2,"2.74e-01","0 to 3.5"
"age.cat>=65",4.4,"2.38e-01","0.4 to 51.9"
"TMB.cathigh",1.2,"8.71e-01","0.1 to 9.6"
"PDL1.catmed",1.3,"8.20e-01","0.1 to 17.8"
"PDL1.cathigh",4.2,"4.43e-01","0.1 to 168.9"
"TMB.cathigh",0.7,"5.81e-01","0.1 to 3"
"age.cat>=65",2.7,"2.37e-01","0.5 to 13.6"
"PDL1.catmed",0.5,"3.54e-01","0.1 to 2.3"
"PDL1.cathigh",0.4,"4.24e-01","0 to 3.9"
"PDL1.catmed",0.5,"3.54e-01","0.1 to 2.3"
"PDL1.cathigh",0.4,"4.24e-01","0 to 3.9"
"age.cat>=65",2.7,"2.37e-01","0.5 to 13.6"
"TMB.cathigh",0.7,"5.81e-01","0.1 to 3"
"nmdptc_mut.bool1",0.5,"3.99e-01","0.1 to 2.7"
"age.cat>=65",2.7,"2.42e-01","0.5 to 13.7"
"TMB.cathigh",0.7,"6.70e-01","0.2 to 3.3"
"PDL1.catmed",0.4,"2.84e-01","0.1 to 2.1"
"PDL1.cathigh",0.4,"4.14e-01","0 to 3.8"
"nmdfs_mut.bool1",0.2,"4.39e-02","0 to 1"
"age.cat>=65",3.2,"1.78e-01","0.6 to 17.3"
"TMB.cathigh",0.8,"7.62e-01","0.2 to 3.7"
"PDL1.catmed",0.3,"1.88e-01","0.1 to 1.8"
"PDL1.cathigh",0.4,"4.50e-01","0 to 4.1"
"nmdns_mut.bool1",1.5,"6.37e-01","0.3 to 8"
"age.cat>=65",2.7,"2.30e-01","0.5 to 13.7"
"TMB.cathigh",0.6,"5.47e-01","0.1 to 2.9"
"PDL1.catmed",0.5,"3.83e-01","0.1 to 2.4"
"PDL1.cathigh",0.4,"4.19e-01","0 to 3.9"
"silent",1,"5.90e-01","1 to 1"
"age.cat>=65",2.7,"2.26e-01","0.5 to 13.9"
"TMB.cathigh",0.6,"5.17e-01","0.1 to 2.9"
"PDL1.catmed",0.5,"3.53e-01","0.1 to 2.3"
"PDL1.cathigh",0.4,"4.15e-01","0 to 3.8"
