"","cancertype","nmdmetric","diff","pval","qval"
"1","BLCA","nmdptc_frac_decayed",-0.0395906230238124,0.350447991067572,0.68837998245416
"2","BLCA","nmdptc_med",-0.548675173711338,0.335664335664336,0.687461392715615
"3","BLCA","nmdptc_med.wt",-0.0240695338781902,0.778865578865579,0.927610333761581
"4","BLCA","nmdptc_mean",-0.123793346219741,0.528671328671329,0.796347544515836
"5","BLCA","nmdptc_mean.wt",0.0452323797537191,0.795936261880534,0.931414774541051
"6","BLCA","nmdfs_frac_decayed",-0.1249387366083,0.783285822627687,0.927610333761581
"7","BLCA","nmdfs_med",0.212270067848497,0.0400288484634404,0.209674920522783
"8","BLCA","nmdfs_med.wt",0.767119961730722,0.0259771417448597,0.154458680645111
"9","BLCA","nmdfs_mean",0.596816741563246,0.0291249031293921,0.168617860222797
"10","BLCA","nmdfs_mean.wt",0.805721022243875,0.173342412182598,0.489004612497863
"11","BLCA","nmdns_frac_decayed",-0.0603383674829026,0.267236151576249,0.61241618069557
"12","BLCA","nmdns_med",-0.581705141772653,0.0304133061680621,0.171562239922401
"13","BLCA","nmdns_med.wt",-0.305583981247926,0.344522779098129,0.687461392715615
"14","BLCA","nmdns_mean",-0.369530915938563,0.130134216072997,0.454436945016816
"15","BLCA","nmdns_mean.wt",-0.470742666909132,0.36175421832284,0.692757534862798
"16","BRCA","nmdptc_frac_decayed",0.0211892990699381,0.244460267455172,0.578293105807935
"17","BRCA","nmdptc_med",0.213365600641272,0.110813607532943,0.435339172450848
"18","BRCA","nmdptc_med.wt",0.219195147587139,0.113167161039815,0.436785533837882
"19","BRCA","nmdptc_mean",0.0834078295742077,0.156942683041008,0.46658635498678
"20","BRCA","nmdptc_mean.wt",0.189633811353945,0.0142187611505602,0.0977539829101011
"21","BRCA","nmdfs_frac_decayed",0.209071697380162,0.00279883595748413,0.0279883595748413
"22","BRCA","nmdfs_med",0.545957712839356,0.0995431995934402,0.413198186991638
"23","BRCA","nmdfs_med.wt",0.803624189547276,0.0156831721511516,0.102064934106371
"24","BRCA","nmdfs_mean",0.440073323750812,0.0127880855242446,0.0907541553333487
"25","BRCA","nmdfs_mean.wt",0.739914714154253,0.000998259890064519,0.0139297572565514
"26","BRCA","nmdns_frac_decayed",0.0484550065040282,0.0384572710867929,0.206356088758401
"27","BRCA","nmdns_med",0.251337466675797,0.49084379195455,0.792700835596327
"28","BRCA","nmdns_med.wt",0.345831653100257,0.431553238900806,0.73878878637332
"29","BRCA","nmdns_mean",0.53917993574241,0.320427227886736,0.684407671214388
"30","BRCA","nmdns_mean.wt",0.65948581812861,0.177501802621072,0.489004612497863
"31","CESC","nmdptc_frac_decayed",-0.0375692149480483,0.613001163435895,0.838698148904935
"32","CESC","nmdptc_med",-0.196947568421347,0.819814241486068,0.943329306415095
"33","CESC","nmdptc_med.wt",0.300797202348707,0.596491228070175,0.830557406173662
"34","CESC","nmdptc_mean",0.0338253551335054,1,1
"35","CESC","nmdptc_mean.wt",0.167685995688388,0.366977225672878,0.692757534862798
"36","CESC","nmdfs_frac_decayed",0.27039516729452,0.215942892810032,0.546062487565597
"37","CESC","nmdfs_med",0.403721638834788,0.592808847965176,0.830557406173662
"38","CESC","nmdfs_med.wt",0.42783784926833,0.382192922305119,0.706575150480053
"39","CESC","nmdfs_mean",0.796696278769286,0.299206818789933,0.64640065370781
"40","CESC","nmdfs_mean.wt",0.945602649442306,0.182265355567385,0.489004612497863
"41","CESC","nmdns_frac_decayed",0,0.466143709545599,0.771064782707005
"42","CESC","nmdns_med",-0.0833472618225229,0.730613589309241,0.918213686185445
"43","CESC","nmdns_med.wt",0.231999937812033,0.745341614906832,0.922137600924288
"44","CESC","nmdns_mean",-0.0411840583804841,0.553147574819401,0.80060833197545
"45","CESC","nmdns_mean.wt",0.367716833416843,0.730613589309241,0.918213686185445
"46","COADREAD","nmdptc_frac_decayed",-0.0747343894676336,0.460696506963073,0.767827511605122
"47","COADREAD","nmdptc_med",0.102318907734055,1,1
"48","COADREAD","nmdptc_med.wt",1.02693722523039,0.342857142857143,0.687461392715615
"49","COADREAD","nmdptc_mean",-0.128181667638662,0.5625,0.803571428571429
"50","COADREAD","nmdptc_mean.wt",0.954608237592464,0.368421052631579,0.692757534862798
"51","COADREAD","nmdfs_frac_decayed",0.227660399607196,0.177923196845137,0.489004612497863
"52","COADREAD","nmdfs_med",0.565843652325104,0.298466412308744,0.64640065370781
"53","COADREAD","nmdfs_med.wt",1.58827730846639,0.153544973139325,0.46658635498678
"54","COADREAD","nmdfs_mean",0.321440535847838,0.346855520870151,0.687461392715615
"55","COADREAD","nmdfs_mean.wt",1.50701274868514,0.146558876593075,0.46658635498678
"56","GBMLGG","nmdptc_frac_decayed",0.0969100130080564,0.394028802110338,0.716416003836979
"57","GBMLGG","nmdptc_med",0.0934726076163363,0.930448670049535,0.979419652683721
"58","GBMLGG","nmdptc_med.wt",0.0526596045932304,0.97380670069391,0.993810624981339
"59","GBMLGG","nmdptc_mean",-0.0267962484654755,0.929675787867325,0.979419652683721
"60","GBMLGG","nmdptc_mean.wt",-0.119247323127959,0.87097273163962,0.943911334781854
"61","GBMLGG","nmdfs_frac_decayed",0,0.431616536087501,0.73878878637332
"62","GBMLGG","nmdfs_med",0.380277437056959,0.546583996463142,0.796347544515836
"63","GBMLGG","nmdfs_med.wt",0.476527118067859,0.608531642465203,0.838698148904935
"64","GBMLGG","nmdfs_mean",0.327759963945666,0.52346347545859,0.796347544515836
