"var","GBMLGG_rho","GBMLGG_rho_pval","GBMLGG_LH_meddelta","GBMLGG_LH_pval"
"silent",0.430747419595718,0,10,4.38680249346877e-16
"missense",0.464759856462479,0,26,6.85899371673474e-20
"nonstop",0.00894794519990683,0.85237345268996,0,1
"nonsense",0.27875143289566,3.32417426918141e-09,1,1.1611133742764e-08
"frameshift",0.13374587893486,0.0052055943039262,1,0.0185154929343259
"total",0.464590907096863,0,41,2.90853166270407e-19
"GZMA",0.961696684360504,0,NA,NA
"PRF1",0.927699327468872,0,NA,NA
"cyt",1,NA,NA,NA
"nmdptc_max",0.0693443045020103,0.148776346253114,0.434457863240104,0.0639724124837114
"nmdptc_n_decayed",0.0727721899747849,0.129664311150933,1,0.035367764150494
"nmdptc_frac_decayed",-0.0955055728554726,0.0465086304423314,-0.333333333333333,0.0535063428272523
"nmdptc_med",-0.033507127314806,0.485783109922601,-0.0843074215865687,0.414036531438368
"nmdptc_med.wt",-0.0743384510278702,0.121590327609535,-0.122087447622808,0.479791124698928
"nmdptc_mean",-0.0173939801752567,0.717528592967452,-0.0527682474297823,0.629190285362985
"nmdptc_mean.wt",-0.0551563426852226,0.250993048721922,-0.100799973783465,0.175019972500851
"nmdptc_mut.bool",-0.000810660189017653,0.986549091856629,0,0.687628683657433
"nmdfs_max",-0.00954530574381351,0.842642288936572,0.389423322655274,0.28183185814117
"nmdfs_n_decayed",-0.0203931797295809,0.671453683047242,0,0.456741841265117
"nmdfs_frac_decayed",-0.0407659858465195,0.396355440889097,0,0.9094694408871
"nmdfs_med",-0.0186590719968081,0.697956968467913,0.220919641470067,0.354017987124061
"nmdfs_med.wt",-0.0378856919705868,0.430592512576009,-0.0409868298012565,0.34551526460448
"nmdfs_mean",-0.00959932431578636,0.841763468138547,0.226162143559846,0.290960274799319
"nmdfs_mean.wt",-0.0320645458996296,0.504768053767458,-0.00910285741284189,0.699749709365068
"nmdfs_mut.bool",0.0346272364258766,0.471311826492939,0,0.670527376495246
"nmdns_max",-0.109908923506737,0.0218660749855319,-1.67531132844481,0.620725363633087
"nmdns_n_decayed",-0.110831297934055,0.0207751609802662,-1,0.698979016151643
"nmdns_frac_decayed",-0.112625896930695,0.0187874930871361,-0.2,0.128817514618382
"nmdns_med",-0.124984093010426,0.00906775970093765,-0.529940142904525,0.268333132529197
"nmdns_med.wt",-0.123247005045414,0.010083871280661,-0.568867472459999,0.489500899999509
"nmdns_mean",-0.11685237288475,0.0147485225263893,-0.612789114808886,0.481915817976317
"nmdns_mean.wt",-0.113389514386654,0.0179933240410413,-0.566388454764232,0.481915817976317
"nmdns_mut.bool",0.131781473755836,0.00591193508314625,0,0.00358743576457793
"TNFRSF4_cna",0.223228469491005,2.57798158909139e-06,0,9.21956237627029e-06
"CNKSR1_cna",0.2434291690588,2.74694266666486e-07,0,9.27439696073438e-07
"FUBP1_cna",0.285629719495773,1.30332544756584e-09,0,1.76860121693107e-08
"FUBP1_mut",-0.0866507068276405,0.0710057406490847,0,0.0267957443999138
"IL10_cna",0.144416630268097,0.0025342383207505,0,0.00154097237139967
"IRF6_cna",0.125893145799637,0.00857319818721147,0,0.00160193605805288
"DNMT3A_cna",0.0685317888855934,0.15360610845122,0,0.0992766819689562
